"Question","Order","Predictor","Estimate","Std_Error","t_value","p_value"
"chat-again","Extrovert first","(Intercept)",3.947,0.167,23.695,0
"chat-again","Extrovert first","chatIntrovert",-0.281,0.236,-1.191,0.235
"chat-again","Extrovert first","orderIntrovert first",-0.652,0.232,-2.815,0.005
"chat-again","Extrovert first","chatIntrovert:orderIntrovert first",0.215,0.328,0.657,0.512
"chat-again","Introvert first","(Intercept)",3.947,0.167,23.695,0
"chat-again","Introvert first","chatIntrovert",-0.281,0.236,-1.191,0.235
"chat-again","Introvert first","orderIntrovert first",-0.652,0.232,-2.815,0.005
"chat-again","Introvert first","chatIntrovert:orderIntrovert first",0.215,0.328,0.657,0.512
"different","Extrovert first","(Intercept)",2.702,0.169,16.015,0
"different","Extrovert first","chatIntrovert",0.281,0.239,1.177,0.241
"different","Extrovert first","orderIntrovert first",0.249,0.235,1.061,0.29
"different","Extrovert first","chatIntrovert:orderIntrovert first",-0.15,0.332,-0.451,0.653
"different","Introvert first","(Intercept)",2.702,0.169,16.015,0
"different","Introvert first","chatIntrovert",0.281,0.239,1.177,0.241
"different","Introvert first","orderIntrovert first",0.249,0.235,1.061,0.29
"different","Introvert first","chatIntrovert:orderIntrovert first",-0.15,0.332,-0.451,0.653
"distant","Extrovert first","(Intercept)",2.386,0.169,14.084,0
"distant","Extrovert first","chatIntrovert",0.333,0.24,1.391,0.165
"distant","Extrovert first","orderIntrovert first",0.385,0.236,1.632,0.104
"distant","Extrovert first","chatIntrovert:orderIntrovert first",-0.038,0.333,-0.115,0.909
"distant","Introvert first","(Intercept)",2.386,0.169,14.084,0
"distant","Introvert first","chatIntrovert",0.333,0.24,1.391,0.165
"distant","Introvert first","orderIntrovert first",0.385,0.236,1.632,0.104
"distant","Introvert first","chatIntrovert:orderIntrovert first",-0.038,0.333,-0.115,0.909
"enjoy","Extrovert first","(Intercept)",4.14,0.142,29.185,0
"enjoy","Extrovert first","chatIntrovert",-0.246,0.201,-1.224,0.222
"enjoy","Extrovert first","orderIntrovert first",-0.599,0.197,-3.038,0.003
"enjoy","Extrovert first","chatIntrovert:orderIntrovert first",0.295,0.279,1.056,0.292
"enjoy","Introvert first","(Intercept)",4.14,0.142,29.185,0
"enjoy","Introvert first","chatIntrovert",-0.246,0.201,-1.224,0.222
"enjoy","Introvert first","orderIntrovert first",-0.599,0.197,-3.038,0.003
"enjoy","Introvert first","chatIntrovert:orderIntrovert first",0.295,0.279,1.056,0.292
"similar","Extrovert first","(Intercept)",3.421,0.161,21.185,0
"similar","Extrovert first","chatIntrovert",-0.14,0.228,-0.615,0.539
"similar","Extrovert first","orderIntrovert first",-0.224,0.225,-0.999,0.319
"similar","Extrovert first","chatIntrovert:orderIntrovert first",0.206,0.318,0.648,0.517
"similar","Introvert first","(Intercept)",3.421,0.161,21.185,0
"similar","Introvert first","chatIntrovert",-0.14,0.228,-0.615,0.539
"similar","Introvert first","orderIntrovert first",-0.224,0.225,-0.999,0.319
"similar","Introvert first","chatIntrovert:orderIntrovert first",0.206,0.318,0.648,0.517
"understood","Extrovert first","(Intercept)",3.982,0.154,25.839,0
"understood","Extrovert first","chatIntrovert",-0.281,0.218,-1.288,0.199
"understood","Extrovert first","orderIntrovert first",-0.655,0.214,-3.054,0.003
"understood","Extrovert first","chatIntrovert:orderIntrovert first",0.297,0.303,0.98,0.328
"understood","Introvert first","(Intercept)",3.982,0.154,25.839,0
"understood","Introvert first","chatIntrovert",-0.281,0.218,-1.288,0.199
"understood","Introvert first","orderIntrovert first",-0.655,0.214,-3.054,0.003
"understood","Introvert first","chatIntrovert:orderIntrovert first",0.297,0.303,0.98,0.328
