participant_ID,chat_again_mirror,chat_again_inverse,different_mirror,different_inverse,enjoy_mirror,enjoy_inverse,similar_mirror,similar_inverse,understood_mirror,understood_inverse,distant_mirror,distant_inverse
40358,4,1,2,5,4,2,4,1,4,2,2,4
92241,3,3,1,3,5,5,5,3,5,5,1,1
53958,5,1,2,5,4,1,4,1,4,2,1,5
46796,4,3,4,4,4,2,4,1,4,2,2,4
54165,5,2,2,4,5,2,5,2,5,3,1,4
32999,4,5,5,4,5,2,1,2,4,5,2,2
39756,4,2,3,5,3,2,4,2,4,2,3,5
31717,5,5,1,1,5,5,4,5,4,5,1,1
16042,5,2,1,5,5,3,4,2,5,2,1,4
95835,4,4,4,2,4,5,2,4,4,5,2,1
65978,4,4,2,4,4,4,4,2,4,2,2,4
98498,4,5,4,2,3,5,4,5,2,4,4,1
91115,5,4,3,4,5,3,1,3,4,3,2,4
72945,4,5,3,1,4,5,4,5,4,5,3,1
40570,1,1,5,4,2,3,2,2,2,3,5,4
40326,5,1,1,5,5,1,5,1,5,1,1,5
21566,4,5,2,2,4,4,4,4,2,4,2,2
71586,5,3,2,4,5,4,5,2,5,4,1,3
23105,2,5,4,1,3,4,3,4,2,5,4,1
32062,5,5,2,2,5,5,4,4,4,5,2,2
32418,5,4,2,3,5,3,4,2,4,2,2,4
46188,4,4,2,3,4,4,4,2,4,4,2,3
65180,5,3,1,3,5,3,4,3,5,3,1,2
81053,5,5,1,2,5,2,5,2,5,3,1,2
12178,4,4,2,2,4,4,4,4,4,4,2,3
95066,4,4,2,2,4,4,4,4,4,4,2,2
77117,2,5,2,1,4,5,4,5,4,5,2,1
63092,5,4,4,5,4,5,4,5,5,5,1,1
38794,5,5,3,4,4,5,3,4,5,5,2,2
22826,5,1,2,5,4,1,5,1,4,2,1,5
89703,4,2,1,4,4,2,4,2,4,3,1,3
41788,4,5,4,3,4,4,3,4,4,4,2,1
65534,3,4,2,3,2,4,2,3,4,4,2,1
33211,5,2,1,5,5,1,5,1,5,1,1,5
49157,4,4,5,5,5,4,4,2,4,4,2,3
50862,4,4,3,5,5,3,4,2,4,3,2,4
55599,1,5,5,4,1,4,2,1,2,3,3,2
47804,5,5,1,2,5,4,5,4,5,5,1,2
26627,5,5,2,2,5,5,4,4,4,4,2,1
54409,5,3,2,4,5,3,5,2,5,3,2,4
71591,5,2,2,4,5,2,5,2,5,3,1,5
63854,5,4,2,3,5,4,5,4,5,3,1,3
70424,5,5,1,1,5,5,5,5,5,5,1,5
43118,4,5,2,1,4,5,4,5,4,5,2,2
49061,2,2,4,4,3,4,4,5,4,4,3,2
62828,5,2,1,5,4,4,4,2,5,2,1,3
24311,4,4,3,4,4,4,4,3,4,4,1,4
23564,4,5,4,2,4,5,3,5,3,5,4,1
88147,5,2,2,2,5,2,5,2,4,2,1,5
76134,2,4,3,2,4,4,2,4,2,4,5,2
74568,5,5,1,5,4,4,5,1,4,4,1,1
88009,2,1,3,5,3,2,2,2,3,1,3,5
83220,4,2,1,4,4,3,5,2,4,2,1,4
10345,5,1,2,5,5,2,5,1,5,3,1,5
59741,5,2,2,4,5,2,4,1,4,1,2,4
82305,2,4,4,4,2,5,1,2,2,4,5,1
91981,5,4,2,3,5,4,5,3,4,3,2,2
44256,5,2,1,4,5,4,5,2,5,4,1,4
26586,4,5,3,1,3,5,3,5,3,4,3,2
83111,5,4,2,1,5,5,5,4,5,4,1,1
29239,4,2,2,4,4,3,4,3,4,2,2,4
29937,4,4,2,2,5,4,4,3,5,4,2,3
98860,4,2,3,4,4,3,4,2,4,2,3,5
46509,5,1,1,5,5,2,5,1,5,1,1,5
41227,4,5,3,2,3,4,4,5,4,4,4,2
11492,5,3,1,4,5,3,5,2,5,3,1,4
38957,3,5,4,1,3,5,2,5,2,5,4,1
61444,5,1,2,1,5,3,4,1,5,3,1,4
50861,5,1,1,5,5,2,5,2,5,2,1,5
41384,1,1,5,5,1,1,2,4,3,3,3,4
84409,1,1,3,3,3,3,2,2,4,2,3,2
33270,2,4,4,2,4,4,2,4,2,3,4,2
39320,4,4,3,3,3,4,2,3,4,3,3,3
23429,5,4,1,4,5,3,5,1,4,2,1,3
17304,4,3,2,4,5,4,4,2,5,2,1,3
35669,5,1,2,5,5,2,4,1,5,1,1,4
30122,5,4,2,4,5,4,5,4,5,4,2,3
16234,5,1,4,4,4,4,4,2,5,4,1,4
46711,2,4,4,3,3,4,2,4,2,4,4,2
99496,5,4,2,3,5,3,4,3,5,4,2,2
67900,4,4,2,2,4,4,4,4,4,4,2,2
94659,5,1,1,5,5,2,5,1,5,1,1,5
48354,4,5,3,4,4,5,4,5,4,4,2,1
18724,4,3,4,2,4,4,4,3,4,4,3,2
37559,4,1,4,5,5,1,1,1,3,2,2,5
41919,5,5,4,4,5,5,4,4,4,4,2,2
53025,2,4,2,4,2,5,4,3,4,3,2,2
59088,5,2,2,3,5,2,5,3,5,4,1,4
37239,4,4,2,3,5,4,3,2,4,3,2,4
69820,5,4,1,4,5,4,5,2,5,2,2,3
71920,5,4,2,4,5,3,5,3,5,3,1,3
87091,5,5,1,1,5,5,5,5,5,5,1,1
40377,5,1,1,3,5,1,5,1,5,2,1,1
94161,3,4,4,2,3,5,2,5,3,4,4,2
63396,4,1,4,3,5,3,5,1,4,4,5,3
37703,4,1,4,5,4,2,4,1,4,2,2,4
87842,5,4,2,5,5,4,5,2,5,4,2,4
43294,4,4,2,3,4,3,4,2,4,4,2,3
54761,4,2,2,5,4,2,4,1,4,2,2,4
50895,4,1,2,5,4,1,4,1,4,2,2,5
