bot_name_1,bot_name_2,chat_1,chat_2,order,participant_ID,participant_num
Pat,Alex,mirror,inverse,1,60557,1
Alex,Pat,inverse,mirror,2,95627,2
Alex,Pat,inverse,mirror,2,72268,3
Pat,Alex,mirror,inverse,1,50379,4
Alex,Pat,inverse,mirror,2,26074,5
Pat,Alex,mirror,inverse,1,62418,6
Pat,Alex,mirror,inverse,1,18756,7
Alex,Pat,inverse,mirror,2,91217,8
Pat,Alex,mirror,inverse,1,81354,9
Alex,Pat,inverse,mirror,2,26997,10
Pat,Alex,mirror,inverse,1,27318,11
Alex,Pat,inverse,mirror,2,43858,12
Pat,Alex,mirror,inverse,1,74008,13
Alex,Pat,inverse,mirror,2,85621,14
Alex,Pat,inverse,mirror,2,10334,15
Pat,Alex,mirror,inverse,1,83465,16
Pat,Alex,mirror,inverse,1,40628,17
Alex,Pat,inverse,mirror,2,75306,18
Pat,Alex,mirror,inverse,1,48114,19
Alex,Pat,inverse,mirror,2,16801,20
Pat,Alex,mirror,inverse,1,33858,21
Alex,Pat,inverse,mirror,2,64484,22
Pat,Alex,mirror,inverse,1,87485,23
Alex,Pat,inverse,mirror,2,80428,24
Pat,Alex,mirror,inverse,1,96724,25
Alex,Pat,inverse,mirror,2,18917,26
Alex,Pat,inverse,mirror,2,82193,27
Pat,Alex,mirror,inverse,1,65978,28
Pat,Alex,mirror,inverse,1,39756,29
Alex,Pat,inverse,mirror,2,21566,30
Alex,Pat,inverse,mirror,2,46796,31
Pat,Alex,mirror,inverse,1,83220,32
Pat,Alex,mirror,inverse,1,92241,33
Alex,Pat,inverse,mirror,2,98498,34
Alex,Pat,inverse,mirror,2,40358,35
Pat,Alex,mirror,inverse,1,76134,36
Alex,Pat,inverse,mirror,2,53958,37
Pat,Alex,mirror,inverse,1,24311,38
Alex,Pat,inverse,mirror,2,31717,39
Pat,Alex,mirror,inverse,1,88147,40
Alex,Pat,inverse,mirror,2,88009,41
Pat,Alex,mirror,inverse,1,46188,42
Pat,Alex,mirror,inverse,1,10345,43
Alex,Pat,inverse,mirror,2,44256,44
Pat,Alex,mirror,inverse,1,95835,45
Alex,Pat,inverse,mirror,2,26586,46
Alex,Pat,inverse,mirror,2,40326,47
Pat,Alex,mirror,inverse,1,54165,48
Pat,Alex,mirror,inverse,1,91981,49
Alex,Pat,inverse,mirror,2,49513,50
Alex,Pat,inverse,mirror,2,74568,51
Pat,Alex,mirror,inverse,1,72945,52
Alex,Pat,inverse,mirror,2,82305,53
Pat,Alex,mirror,inverse,1,40570,54
Alex,Pat,inverse,mirror,2,16042,55
Pat,Alex,mirror,inverse,1,65535,56
Pat,Alex,mirror,inverse,1,32999,57
Alex,Pat,inverse,mirror,2,98860,58
Pat,Alex,mirror,inverse,1,23105,59
Alex,Pat,inverse,mirror,2,23564,60
Alex,Pat,inverse,mirror,2,29937,61
Pat,Alex,mirror,inverse,1,71586,62
Alex,Pat,inverse,mirror,2,29239,63
Pat,Alex,mirror,inverse,1,66850,64
Alex,Pat,inverse,mirror,2,59741,65
Pat,Alex,mirror,inverse,1,91115,66
Pat,Alex,mirror,inverse,1,95066,67
Alex,Pat,inverse,mirror,2,27017,68
Pat,Alex,mirror,inverse,1,83111,69
Alex,Pat,inverse,mirror,2,77117,70
Pat,Alex,mirror,inverse,1,12178,71
Alex,Pat,inverse,mirror,2,65180,72
Alex,Pat,inverse,mirror,2,81053,73
Pat,Alex,mirror,inverse,1,63092,74
Pat,Alex,mirror,inverse,1,32418,75
Alex,Pat,inverse,mirror,2,46509,76
Pat,Alex,mirror,inverse,1,41227,77
Alex,Pat,inverse,mirror,2,11492,78
Alex,Pat,inverse,mirror,2,32062,79
Pat,Alex,mirror,inverse,1,44975,80
Alex,Pat,inverse,mirror,2,38957,81
Pat,Alex,mirror,inverse,1,61444,82
