item,subscale,reversed,question
1,extraversion,0,NA
2,agreeableness,1,NA
3,conscientiousness,0,NA
4,neuroticism,0,NA
5,openness,0,NA
6,extraversion,1,NA
7,agreeableness,0,NA
8,conscientiousness,1,NA
9,neuroticism,1,NA
10,openness,0,NA
11,extraversion,0,NA
12,agreeableness,1,NA
13,conscientiousness,0,NA
14,neuroticism,0,NA
15,openness,0,NA
16,extraversion,0,NA
17,agreeableness,0,NA
18,conscientiousness,1,NA
19,neuroticism,0,NA
20,openness,0,NA
21,extraversion,1,NA
22,agreeableness,0,NA
23,conscientiousness,1,NA
24,neuroticism,1,NA
25,openness,0,NA
26,extraversion,0,NA
27,agreeableness,1,NA
28,conscientiousness,0,NA
29,neuroticism,0,NA
30,openness,0,NA
31,extraversion,1,NA
32,agreeableness,0,NA
33,conscientiousness,0,NA
34,neuroticism,1,NA
35,openness,1,NA
36,extraversion,0,NA
37,agreeableness,1,NA
38,conscientiousness,0,NA
39,neuroticism,0,NA
40,openness,0,NA
41,openness,1,NA
42,agreeableness,0,NA
43,conscientiousness,1,NA
44,openness,0,NA
