participant_ID,extraversion_score,agreeableness_score,conscientiousness_score,openness_score,neuroticism_score
10334,2.75,4.22,4.33,3.6,1.75
16801,2.5,3.56,3.44,3.7,3.13
26997,2.5,4.22,3,2.5,3.38
27318,4,2,4.33,1.4,4.38
33858,3,4.56,4.67,3.9,2
40628,2.75,3.11,2.78,3.6,2.88
43858,2,4.22,3.44,4.3,2.38
64484,4.13,4.78,5,4.6,2.75
80428,3.38,3.78,3.89,3.4,2.25
81354,3.63,5,5,4.5,1.38
83465,3.25,3.56,3.22,3.3,3.63
85621,2,5,5,4.6,1
87485,4.25,4.11,4,4,2
91217,3.63,4.89,5,4.6,1.75
96724,2.5,4.44,3.56,3.2,4.38
