participant_ID,chat_again_mirror,chat_again_inverse,different_mirror,different_inverse,enjoy_mirror,enjoy_inverse,similar_mirror,similar_inverse,understood_mirror,understood_inverse,distant_mirror,distant_inverse
10334,4,4,2,2,5,5,5,5,4,4,2,2
16801,5,4,1,2,5,4,4,4,5,4,1,2
26997,2,5,3,4,3,5,4,4,4,5,4,1
27318,1,1,5,5,2,4,1,1,1,1,5,5
33858,5,5,2,1,5,5,5,4,5,5,1,1
40628,1,5,4,1,5,4,5,5,5,5,4,2
43858,4,4,4,4,4,4,3,2,3,3,3,3
64484,5,3,1,5,5,4,5,3,5,2,2,4
80428,4,4,2,2,4,4,4,4,4,4,2,2
81354,5,5,2,2,5,5,2,5,5,5,1,1
83465,5,4,3,2,4,4,4,4,3,3,4,2
85621,5,3,1,5,5,2,5,1,5,1,1,4
87485,5,1,1,5,5,2,5,1,5,2,1,5
91217,4,5,2,1,4,5,4,5,4,5,2,2
96724,4,4,2,4,4,3,5,2,4,3,2,4
,,,,,,,,,,,,
,3.933333333,3.8,2.333333333,3,4.333333333,4,4.066666667,3.333333333,4.133333333,3.466666667,2.333333333,2.666666667
