participant_ID,extraversion_score,agreeableness_score,conscientiousness_score,openness_score,neuroticism_score
92241,2.13,2.89,4.56,4.6,4.88
98498,1.75,3.33,2.56,2.8,3.75
40358,4.25,3.56,4,3.3,1.38
76134,2.63,3.11,2.33,3,2.75
53958,3.38,3.78,4.11,4.1,2.25
24311,1.13,3.22,1.67,3.1,4.38
65978,1.38,2.89,1.78,2.1,4
39756,2.5,3.11,3.44,3.6,4.13
21566,2.63,2.78,3.22,4.1,2.25
46796,4.13,4.22,3.11,4.2,1.5
91981,2.5,4.44,4.56,4,1.38
72945,2.5,3.11,2.89,4.5,4.5
82305,1.75,3.67,4.22,2.2,2
16042,2.63,4.78,4.89,3.4,1.88
65535,2.38,2.67,3.11,3.6,3.88
32999,2.25,4.44,4.22,4.1,2
49513,4,4.33,4,4.2,1.5
74568,4,4.67,4.78,3.7,2
40570,4.13,2,3.56,5,2.25
95066,3.38,3.56,3.89,3.7,2.88
27017,3.88,4.56,4.67,4.2,1.5
77117,4.5,4.22,4.78,4.3,2.5
65180,2.75,3.89,4.78,3.9,2.5
81053,2.13,4.33,4.67,3.4,2.63
63092,3.38,4.44,4,3.8,2.13
32418,3.5,4.44,4.67,3,1.38
83111,3.38,5,5,3.9,2
12178,2,4.22,5,4,2.13
26586,3.38,4.67,4.11,4.2,2.75
95835,2,3.33,4.56,3.2,2.25
83220,1.88,3.44,4.33,4,2.75
31717,2.38,3.67,3.89,2.7,3
88147,4.63,4.22,4.67,2.5,2.88
88009,2.88,3.22,3.56,4.3,2.13
46188,2.63,4.22,4.22,2.6,3.25
10345,4.75,4.56,4.89,4.3,2
44256,3.63,4.44,4.56,4.5,1.88
40326,3.63,4.33,4.67,4.4,3.38
54165,4,3.44,2.11,3,4.75
23105,2.63,3.33,3.56,3,3.38
23564,2.38,4.33,4.56,4,1.75
29937,2.25,2.89,3.67,3.1,2.75
71586,2.38,3.89,3.11,4.8,3.63
29239,3,3.11,4.11,3.7,4.63
66850,3.25,4.11,4,3.5,2.13
59741,2.88,4,3.44,3.9,3.13
98860,3.25,4,4.11,4,2.38
91115,3.88,4.33,4,4,2.25
46509,4.13,5,4.78,4.1,1
41227,4.13,3.44,3.78,4,4.63
11492,4,5,5,4.6,1.25
32062,3.25,4.67,4.44,3.7,3
44975,3.63,4.33,4.44,4.4,2.5
38957,4.25,4.78,4.78,4.7,1.38
61444,1.75,4.33,3.56,3.7,3.13
