participant_ID,chat_again_mirror,chat_again_inverse,different_mirror,different_inverse,enjoy_mirror,enjoy_inverse,similar_mirror,similar_inverse,understood_mirror,understood_inverse,distant_mirror,distant_inverse
40358,4,1,2,5,4,2,4,1,4,2,2,4
92241,3,3,1,3,5,5,5,3,5,5,1,1
53958,5,1,2,5,4,1,4,1,4,2,1,5
46796,4,3,4,4,4,2,4,1,4,2,2,4
54165,5,2,2,4,5,2,5,2,5,3,1,4
32999,4,5,5,4,5,2,1,2,4,5,2,2
39756,4,2,3,5,3,2,4,2,4,2,3,5
31717,5,5,1,1,5,5,4,5,4,5,1,1
16042,5,2,1,5,5,3,4,2,5,2,1,4
95835,4,4,4,2,4,5,2,4,4,5,2,1
65978,4,4,2,4,4,4,4,2,4,2,2,4
98498,4,5,4,2,3,5,4,5,2,4,4,1
91115,5,4,3,4,5,3,1,3,4,3,2,4
72945,4,5,3,1,4,5,4,5,4,5,3,1
40570,1,1,5,4,2,3,2,2,2,3,5,4
40326,5,1,1,5,5,1,5,1,5,1,1,5
21566,4,5,2,2,4,4,4,4,2,4,2,2
71586,5,3,2,4,5,4,5,2,5,4,1,3
23105,2,5,4,1,3,4,3,4,2,5,4,1
32062,5,5,2,2,5,5,4,4,4,5,2,2
32418,5,4,2,3,5,3,4,2,4,2,2,4
46188,4,4,2,3,4,4,4,2,4,4,2,3
65180,5,3,1,3,5,3,4,3,5,3,1,2
81053,5,5,1,2,5,2,5,2,5,3,1,2
12178,4,4,2,2,4,4,4,4,4,4,2,3
95066,4,4,2,2,4,4,4,4,4,4,2,2
77117,2,5,2,1,4,5,4,5,4,5,2,1
63092,5,4,4,5,4,5,4,5,5,5,1,1
24311,4,4,3,4,4,4,4,3,4,4,1,4
23564,4,5,4,2,4,5,3,5,3,5,4,1
88147,5,2,2,2,5,2,5,2,4,2,1,5
76134,2,4,3,2,4,4,2,4,2,4,5,2
74568,5,5,1,5,4,4,5,1,4,4,1,1
88009,2,1,3,5,3,2,2,2,3,1,3,5
83220,4,2,1,4,4,3,5,2,4,2,1,4
10345,5,1,2,5,5,2,5,1,5,3,1,5
59741,5,2,2,4,5,2,4,1,4,1,2,4
82305,2,4,4,4,2,5,1,2,2,4,5,1
91981,5,4,2,3,5,4,5,3,4,3,2,2
44256,5,2,1,4,5,4,5,2,5,4,1,4
26586,4,5,3,1,3,5,3,5,3,4,3,2
83111,5,4,2,1,5,5,5,4,5,4,1,1
29239,4,2,2,4,4,3,4,3,4,2,2,4
29937,4,4,2,2,5,4,4,3,5,4,2,3
98860,4,2,3,4,4,3,4,2,4,2,3,5
46509,5,1,1,5,5,2,5,1,5,1,1,5
41227,4,5,3,2,3,4,4,5,4,4,4,2
11492,5,3,1,4,5,3,5,2,5,3,1,4
38957,3,5,4,1,3,5,2,5,2,5,4,1
61444,5,1,2,1,5,3,4,1,5,3,1,4
