"quest","effect","Std_Coefficient","Std_Coefficient_CI_low","Std_Coefficient_CI_high","p"
"chat-again","Interaction",-0.0328525104196103,-0.263191267408285,0.197486246569065,""
"chat-again","Anxious",0.115948486529818,-0.0957082185520964,0.327605191611732,""
"chat-again","Nonanxious",0.107551432978905,-0.104306495379219,0.31940936133703,""
"different","Interaction",0.655825746872357,0.396808973640743,0.91484252010397,"***"
"different","Anxious",-0.457907224740859,-0.647347765613606,-0.268466683868112,"***"
"different","Nonanxious",0.219875905677809,0.0119967981041772,0.42775501325144,"*"
"distant","Interaction",0.459729568180803,0.206293118785325,0.713166017576281,"***"
"distant","Anxious",-0.310259756221783,-0.512837931765125,-0.10768158067844,"**"
"distant","Nonanxious",0.163902663956615,-0.0463095383956427,0.374114866308872,""
"enjoy","Interaction",0.0338492482287785,-0.234847932532772,0.302546428990329,""
"enjoy","Anxious",0.0773460531714625,-0.135109557989699,0.289801664332624,""
"enjoy","Nonanxious",0.141419170145464,-0.0695331693573574,0.352371509648285,""
"similar","Interaction",-0.470116864830828,-0.741935596208906,-0.19829813345275,"***"
"similar","Anxious",0.428782599234105,0.236271859920947,0.621293338547263,"***"
"similar","Nonanxious",-0.0507839243972815,-0.263602936879424,0.162035088084861,""
"understood","Interaction",-0.369996739277553,-0.614369151322681,-0.125624327232424,"**"
"understood","Anxious",0.323092818390362,0.121427652366821,0.524757984413903,"**"
"understood","Nonanxious",-0.0448535379209082,-0.257733049826853,0.168025973985037,""
