Participant.Private.ID,Participant.Status,arm,chat,chatType,counterbalance,chat1_first,gorillaExp,chatCondition,good_ids,chatId,botpersonality,bots_Mixed,bots_Negative,bots_Neutral,bots_Positive,bots_mean_words,user_Mixed,user_Negative,user_Neutral,user_Positive,user_mean_words,user_mean_rt,num_interactions,gpt_user_mirror,user_gpt_mirror,chatCode,chat-again,different,similar,enjoy,distant,understood
9804092,complete,2,1,Anxious,A,no,A,pat_anx,9804092Anxious,8722,Anxious,4,11,2,1,20.44444444,1,4,6,7,9.277777778,438480.5,18,0.222222222,0.352941176,9804092Anxious,2,2,3,4,2,4
9804125,complete,2,1,Anxious,A,no,A,pat_anx,9804125Anxious,3014,Anxious,9,9,9,4,24.90322581,3,10,16,2,9.387096774,361987.129,31,0.225806452,0.366666667,9804125Anxious,2,4,2,3,4,2
9804355,complete,2,1,Anxious,A,no,A,pat_anx,9804355Anxious,7477,Anxious,7,3,3,3,27.75,5,1,7,3,33.75,458574.1875,16,0.125,0.2,9804355Anxious,2,5,2,2,5,2
9804410,complete,1,1,Anxious,A,yes,A,pat_anx,9804410Anxious,6868,Anxious,8,8,3,8,24.22222222,4,6,7,10,10.66666667,337541.4074,27,0.296296296,0.423076923,9804410Anxious,2,2,4,2,4,4
9804421,complete,1,1,Anxious,A,yes,A,pat_anx,9804421Anxious,8388,Anxious,9,5,7,0,24.14285714,0,9,8,4,5.857142857,303673.0476,21,0.285714286,0.15,9804421Anxious,1,4,2,2,4,2
9804579,complete,2,1,Anxious,A,no,A,pat_anx,9804579Anxious,7775,Anxious,5,9,4,3,23.57142857,2,3,13,3,12.85714286,367414.9524,21,0.142857143,0.25,9804579Anxious,2,3,3,3,4,2
9804926,complete,2,1,Anxious,A,no,A,pat_anx,9804926Anxious,7872,Anxious,8,10,1,1,22.2,0,3,11,6,7.15,374043,20,0.15,0.157894737,9804926Anxious,1,4,2,2,5,1
9805587,complete,1,1,Anxious,A,yes,A,pat_anx,9805587Anxious,2465,Anxious,6,14,4,7,23.70967742,1,5,16,9,9.612903226,351381,31,0.35483871,0.333333333,9805587Anxious,4,2,4,2,4,4
10117124,complete,2,1,Anxious,B,no,B,alex_anx,10117124Anxious,9463,Anxious,3,2,5,8,23.55555556,2,1,3,12,29,424284.1111,18,0.333333333,0.588235294,10117124Anxious,5,2,5,4,2,5
10117126,complete,1,1,Anxious,B,yes,B,alex_anx,10117126Anxious,3394,Anxious,2,8,2,12,16.70833333,0,3,12,9,8.333333333,337435.6667,24,0.5,0.565217391,10117126Anxious,2,4,2,4,3,3
10117128,complete,2,1,Anxious,B,no,B,alex_anx,10117128Anxious,6534,Anxious,9,10,3,7,19.10344828,0,3,19,7,3.724137931,415522.5172,29,0.344827586,0.107142857,10117128Anxious,2,4,3,2,4,4
10117133,complete,1,1,Anxious,B,yes,B,alex_anx,10117133Anxious,6136,Anxious,4,3,6,4,22.23529412,1,3,9,4,8.705882353,363437.5882,17,0.294117647,0.375,10117133Anxious,2,4,2,3,4,2
10117140,complete,1,1,Anxious,B,yes,B,alex_anx,10117140Anxious,3020,Anxious,10,2,2,1,26.4,0,1,7,7,17.4,317160.8667,15,0.066666667,0.071428571,10117140Anxious,2,5,1,2,4,2
10117146,complete,2,1,Anxious,B,no,B,alex_anx,10117146Anxious,8744,Anxious,4,8,2,9,20.86956522,1,6,9,7,7.739130435,457695.1739,23,0.304347826,0.409090909,10117146Anxious,2,4,2,3,4,2
10117148,complete,1,1,Anxious,B,yes,B,alex_anx,10117148Anxious,7432,Anxious,5,9,1,4,26.10526316,4,4,8,3,21.78947368,408533.6316,19,0.263157895,0.333333333,10117148Anxious,5,1,5,5,1,5
10117150,complete,1,1,Anxious,B,yes,B,alex_anx,10117150Anxious,3927,Anxious,3,5,2,3,19.30769231,2,0,7,4,11.84615385,319042.5385,13,0.307692308,0.166666667,10117150Anxious,3,4,3,4,4,3
10117154,complete,2,1,Anxious,B,no,B,alex_anx,10117154Anxious,7522,Anxious,8,4,5,11,18.28571429,4,6,14,4,10.89285714,357763.9286,28,0.25,0.37037037,10117154Anxious,4,2,4,4,2,4
10117165,complete,2,1,Anxious,B,no,B,alex_anx,10117165Anxious,8865,Anxious,8,2,2,3,25.13333333,2,1,5,7,27.33333333,360914.6,15,0.333333333,0.214285714,10117165Anxious,4,4,2,4,2,2
10117171,complete,1,1,Anxious,B,yes,B,alex_anx,10117171Anxious,9992,Anxious,3,6,2,0,28.63636364,1,4,2,4,30.81818182,364386.8182,11,0.363636364,0.3,10117171Anxious,5,2,4,4,1,4
10117181,complete,2,1,Anxious,B,no,B,alex_anx,10117181Anxious,1234,Anxious,11,6,3,9,25.55172414,1,2,10,16,9.586206897,390544.2069,29,0.275862069,0.357142857,10117181Anxious,2,4,1,2,4,3
10117189,complete,1,1,Anxious,B,yes,B,alex_anx,10117189Anxious,3715,Anxious,1,4,3,10,27.72222222,3,0,5,10,25.05555556,388695.8333,18,0.444444444,0.470588235,10117189Anxious,5,1,4,5,1,5
10117196,complete,2,1,Anxious,B,no,B,alex_anx,10117196Anxious,9491,Anxious,1,2,2,2,14.28571429,0,0,5,2,4,213527.8571,7,0.142857143,0.333333333,10117196Anxious,2,2,2,2,4,2
10117204,complete,1,1,Anxious,B,yes,B,alex_anx,10117204Anxious,6306,Anxious,1,13,4,0,20.55555556,0,2,11,5,9.722222222,299772.3333,18,0.222222222,0.117647059,10117204Anxious,2,4,2,2,4,4
10117263,complete,1,1,Anxious,B,yes,B,alex_anx,10117263Anxious,7462,Anxious,3,1,4,9,22.05882353,0,0,8,9,10.11764706,391964.8235,17,0.294117647,0.5625,10117263Anxious,5,1,5,5,1,5
10117266,complete,1,1,Anxious,B,yes,B,alex_anx,10117266Anxious,8539,Anxious,8,10,7,0,19.04,1,3,9,12,13.04,324179.8,25,0.2,0.291666667,10117266Anxious,1,4,2,2,4,2
10117310,complete,2,1,Anxious,B,no,B,alex_anx,10117310Anxious,4771,Anxious,1,2,2,9,15.42857143,0,2,5,7,7.142857143,230006.5714,14,0.571428571,0.538461538,10117310Anxious,5,1,5,5,1,5
10117352,complete,1,1,Anxious,B,yes,B,alex_anx,10117352Anxious,7106,Anxious,14,3,4,5,23.38461538,2,2,10,12,14.65384615,374837.5385,26,0.269230769,0.36,10117352Anxious,4,4,2,4,2,3
10117424,complete,1,1,Anxious,B,yes,B,alex_anx,10117424Anxious,3693,Anxious,3,1,1,12,19.23529412,1,0,4,12,10.94117647,305275.5294,17,0.470588235,0.5,10117424Anxious,4,2,3,4,2,4
10117478,complete,2,1,Anxious,B,no,B,alex_anx,10117478Anxious,8054,Anxious,6,4,5,6,23.80952381,0,3,10,8,12.33333333,323532.6667,21,0.380952381,0.35,10117478Anxious,4,2,4,4,2,3
10117696,complete,1,1,Anxious,B,yes,B,alex_anx,10117696Anxious,5906,Anxious,8,6,2,3,24.05263158,2,1,11,5,11.84210526,355514,19,0,0.222222222,10117696Anxious,2,4,3,3,4,2
10117760,complete,2,1,Anxious,B,no,B,alex_anx,10117760Anxious,7668,Anxious,7,11,1,4,22.56521739,0,1,18,4,7.565217391,356270.1739,23,0.130434783,0.136363636,10117760Anxious,1,5,1,1,5,1
10117874,complete,1,1,Anxious,B,yes,B,alex_anx,10117874Anxious,9838,Anxious,2,2,4,13,15.28571429,0,1,8,12,10.28571429,394339.4286,21,0.523809524,0.5,10117874Anxious,2,4,2,2,4,3
10117912,complete,2,1,Anxious,B,no,B,alex_anx,10117912Anxious,2793,Anxious,2,4,1,0,22,1,0,2,4,22.57142857,464840.5714,7,0,0.166666667,10117912Anxious,4,4,2,4,2,2
10117950,complete,1,1,Anxious,B,yes,B,alex_anx,10117950Anxious,6252,Anxious,1,0,5,4,22.7,0,0,5,5,23.5,369107.3,10,0.4,0.666666667,10117950Anxious,4,4,2,4,2,3
10118016,complete,2,1,Anxious,B,no,B,alex_anx,10118016Anxious,6684,Anxious,6,7,3,3,21.36842105,0,3,8,8,11.68421053,358173.7895,19,0.263157895,0.333333333,10118016Anxious,2,3,3,1,4,1
10118261,complete,1,1,Anxious,B,yes,B,alex_anx,10118261Anxious,3346,Anxious,11,5,8,4,20.17857143,3,0,10,15,13,392364.9286,28,0.214285714,0.296296296,10118261Anxious,4,4,2,2,3,4
10118268,complete,1,1,Anxious,B,yes,B,alex_anx,10118268Anxious,6234,Anxious,11,1,2,1,23.46666667,0,1,11,2,5.933333333,454536.2,15,0.2,0,10118268Anxious,2,4,2,3,4,2
10118299,complete,2,1,Anxious,B,no,B,alex_anx,10118299Anxious,6641,Anxious,3,6,5,17,18.16129032,3,1,20,7,10.4516129,340553.6774,31,0.290322581,0.266666667,10118299Anxious,3,2,3,2,5,4
10269258,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10269258Anxious,6195,Anxious,2,3,5,3,23.53846154,0,8,5,0,6.307692308,254426.3077,13,0.384615385,0.166666667,10269258Anxious,1,1,5,1,1,5
10269277,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10269277Anxious,3359,Anxious,9,4,4,14,18.70967742,0,4,12,15,9.483870968,385762.0645,31,0.225806452,0.4,10269277Anxious,1,3,2,2,5,3
10269286,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10269286Anxious,7695,Anxious,1,20,2,5,26.07142857,0,4,19,5,7.25,388577.4643,28,0.178571429,0.185185185,10269286Anxious,2,4,2,3,5,2
10269296,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10269296Anxious,3508,Anxious,4,5,2,0,22.18181818,1,4,4,2,15.18181818,476321.5455,11,0.363636364,0.2,10269296Anxious,1,5,1,1,1,4
10269305,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10269305Anxious,9821,Anxious,3,6,4,9,19.68181818,1,4,10,7,11.95454545,362382.5909,22,0.318181818,0.523809524,10269305Anxious,2,2,4,2,3,4
10269314,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10269314Anxious,6606,Anxious,6,7,3,4,21.45,1,1,13,5,16.45,452194.65,20,0.35,0.210526316,10269314Anxious,2,5,4,2,5,2
10269319,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10269319Anxious,9098,Anxious,4,2,2,9,22.94117647,2,0,4,11,33.47058824,396726.4706,17,0.470588235,0.375,10269319Anxious,3,2,4,4,2,4
10269353,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10269353Anxious,7305,Anxious,6,4,2,7,18.84210526,4,1,7,7,14.05263158,332374.7895,19,0.263157895,0.388888889,10269353Anxious,2,4,2,2,4,4
