"participant_ID","extraversion_score","agreeableness_score","conscientiousness_score","neuroticism_score","openness_score"
10345,4.75,4.56,4.89,2,4.3
11492,4,5,5,1.25,4.6
12178,2,4.22,5,2.13,4
16042,2.63,4.78,4.89,1.88,3.4
16234,1.63,4.89,4.56,1,3.5
17304,3.5,4.67,4.78,1.88,4.1
18724,2.38,3,3.89,3.38,3
21566,2.63,2.78,3.22,2.25,4.1
22826,4.13,3.44,3.44,2.63,3.6
23105,2.63,3.33,3.56,3.38,3
23429,3.38,4.44,4,1.5,4
23564,2.38,4.33,4.56,1.75,4
24311,1.13,3.22,1.67,4.38,3.1
26586,3.38,4.67,4.11,2.75,4.2
26627,1.75,4.56,4.89,1.13,3.5
29239,3,3.11,4.11,4.63,3.7
29937,2.25,2.89,3.67,2.75,3.1
30122,1.63,4.56,3.78,3.88,4.3
31717,2.38,3.67,3.89,3,2.7
32062,3.25,4.67,4.44,3,3.7
32418,3.5,4.44,4.67,1.38,3
32999,2.25,4.44,4.22,2,4.1
33211,3.5,3.56,3.22,3,4.1
33270,2.38,3.22,3.56,2.88,2.9
35669,3.63,5,5,1.25,4.5
37239,4.13,4.89,4.33,1.38,2.7
37559,4,3.33,4,1.38,4.1
37703,2.63,4.22,3.56,2.38,3.3
38794,4,3.11,3.89,3.13,3.7
38957,4.25,4.78,4.78,1.38,4.7
39320,3.38,4.11,4.11,1.63,3.2
39756,2.5,3.11,3.44,4.13,3.6
40326,3.63,4.33,4.67,3.38,4.4
40358,4.25,3.56,4,1.38,3.3
40377,4.13,4.67,3.56,2.5,4.3
40570,4.13,2,3.56,2.25,5
41227,4.13,3.44,3.78,4.63,4
41384,3.38,4.56,4.22,1.63,4
41788,2.88,3.44,2.44,3.25,4.3
41919,3.38,3.78,4.56,2.25,3.8
43118,2.88,4.78,4.33,1.75,3.2
43294,4.13,4,4.22,2.25,3
44256,3.63,4.44,4.56,1.88,4.5
46188,2.63,4.22,4.22,3.25,2.6
46509,4.13,5,4.78,1,4.1
46711,1.5,3.78,4.44,2.25,3.2
46796,4.13,4.22,3.11,1.5,4.2
47804,2.13,3.89,4.89,3.75,2.9
48354,3.75,3.78,3,3.63,2.4
49061,3.63,4,4.78,1.75,4.4
49157,3.25,4.22,4.89,2.5,3
50861,2.25,4.11,4.44,1.63,2.2
50862,2.38,4.44,4.22,1.38,3.7
50895,2.63,4.56,4.22,3.13,3.9
53025,1.88,2.89,2.67,3.5,2.6
53958,3.38,3.78,4.11,2.25,4.1
54165,4,3.44,2.11,4.75,3
54409,3.75,4.67,4.56,2.25,4.2
54761,3.63,3.67,3.33,2.88,3.8
55599,3.38,4.22,3.56,1,4.7
59088,4,4.22,3.44,3.5,3.8
59741,2.88,4,3.44,3.13,3.9
61444,1.75,4.33,3.56,3.13,3.7
62828,4.25,4.44,5,1.25,4
63092,3.38,4.44,4,2.13,3.8
63396,4.38,4,3.89,1.75,3.7
63854,3.88,3,2.78,3.5,3.9
65180,2.75,3.89,4.78,2.5,3.9
65534,1.13,2.44,2.44,4.38,3.3
65978,1.38,2.89,1.78,4,2.1
67900,1.5,3.56,4.89,4.38,4.1
69820,1.5,4.67,4,3.88,3.2
70424,4.25,5,4.56,1,4.4
71586,2.38,3.89,3.11,3.63,4.8
71591,4.25,4.56,4.67,2.25,4
71920,3.75,4.44,3.56,2.25,4.3
72945,2.5,3.11,2.89,4.5,4.5
74568,4,4.67,4.78,2,3.7
76134,2.63,3.11,2.33,2.75,3
77117,4.5,4.22,4.78,2.5,4.3
81053,2.13,4.33,4.67,2.63,3.4
82305,1.75,3.67,4.22,2,2.2
83111,3.38,5,5,2,3.9
83220,1.88,3.44,4.33,2.75,4
84409,1.5,3.44,3.22,4.25,3.1
87091,3.5,5,5,1.5,4.7
87842,1.63,3.56,3.89,1.63,2.9
88009,2.88,3.22,3.56,2.13,4.3
88147,4.63,4.22,4.67,2.88,2.5
89703,2.13,2.89,2.22,4.38,3.2
91115,3.88,4.33,4,2.25,4
91981,2.5,4.44,4.56,1.38,4
92241,2.13,2.89,4.56,4.88,4.6
94161,1.63,3.56,2.89,3.13,3.3
94659,1.5,4.56,3.78,4.5,3.8
95066,3.38,3.56,3.89,2.88,3.7
95835,2,3.33,4.56,2.25,3.2
98498,1.75,3.33,2.56,3.75,2.8
98860,3.25,4,4.11,2.38,4
99496,4.5,3.78,5,1.38,3.4
