"participant_ID","botcondition","bots_Mixed","bots_Negative","bots_Neutral","bots_Positive","bots_mean_words","user_Mixed","user_Negative","user_Neutral","user_Positive","user_mean_words","user_mean_rt","num_interactions","gpt_user_mirror","user_gpt_mirror"
40358,"mirror",6,0,4,16,33.0769230769231,3,2,12,9,11.4230769230769,NA,26,0.384615384615385,0.4
92241,"mirror",13,4,5,4,43.4615384615385,1,2,19,4,12.6923076923077,NA,26,0.153846153846154,0.32
53958,"mirror",1,0,4,21,33.3461538461538,6,2,11,7,14.9230769230769,NA,26,0.269230769230769,0.36
46796,"mirror",5,0,3,18,39.7692307692308,7,2,11,6,15,NA,26,0.192307692307692,0.36
54165,"mirror",18,4,3,1,40.0384615384615,6,6,14,0,13.8076923076923,NA,26,0.423076923076923,0.28
32999,"mirror",2,0,4,20,35.6153846153846,0,1,15,10,9.07692307692308,NA,26,0.538461538461538,0.52
39756,"mirror",14,1,8,3,48.3076923076923,6,1,13,6,17.5384615384615,NA,26,0.423076923076923,0.36
31717,"mirror",12,1,10,3,41.0384615384615,6,4,13,3,29.9615384615385,NA,26,0.269230769230769,0.52
16042,"mirror",6,0,6,14,38.5,3,0,11,12,16.8846153846154,NA,26,0.576923076923077,0.48
95835,"mirror",7,0,9,10,38.4230769230769,4,3,16,3,14,NA,26,0.346153846153846,0.52
65978,"mirror",16,4,6,0,34.2307692307692,2,3,14,7,14.3461538461538,NA,26,0.269230769230769,0.32
98498,"mirror",16,3,3,4,40.3076923076923,7,1,8,10,28.1923076923077,NA,26,0.307692307692308,0.4
91115,"mirror",1,0,3,22,34.7307692307692,3,0,4,19,17.0769230769231,NA,26,0.653846153846154,0.68
72945,"mirror",19,2,5,0,52.8076923076923,12,5,7,2,30.5,NA,26,0.576923076923077,0.36
40570,"mirror",12,2,2,10,48.4615384615385,10,1,8,7,23.2692307692308,NA,26,0.346153846153846,0.52
40326,"mirror",4,0,2,20,42.4615384615385,4,1,17,4,21.3846153846154,NA,26,0.153846153846154,0.2
21566,"mirror",4,2,12,8,27.6153846153846,3,3,18,2,8.65384615384615,NA,26,0.461538461538462,0.56
71586,"mirror",8,0,8,10,33.0769230769231,5,0,15,6,18.1538461538462,NA,26,0.615384615384615,0.6
23105,"mirror",9,2,1,14,35.6153846153846,8,2,6,10,20.7692307692308,NA,26,0.538461538461538,0.68
32062,"mirror",0,0,7,19,19.1538461538462,0,0,18,8,4.96153846153846,NA,26,0.5,0.56
32418,"mirror",9,0,6,11,35.7307692307692,2,1,20,3,8.88461538461539,NA,26,0.307692307692308,0.36
