Participant_ID,Extroverted,Critical,Dependable,Anxious,Open,Reserved,Sympathetic,Disorganized,Calm,Conventional
11566059,3,3,6,4,6,5,5,2,5,2
11566066,2,3,5,3,6,6,4,3,5,3
11566067,6,2,4,4,5,2,5,6,4,3
11566069,6,2,7,2,5,2,6,1,6,4
11566073,3,5,6,5,5,5,5,2,4,5
11566074,2,4,5,4,6,6,4,3,5,2
11566081,6,4,2,3,5,2,4,6,4,4
11566142,3,5,5,3,5,6,3,4,5,5
11566218,1,2,6,6,6,7,7,3,3,3
11580653,3,6,6,4,4,5,4,3,5,5
11580672,6,2,6,2,7,2,6,3,6,3
11580907,3,4,5,3,4,4,5,3,5,5
11580923,2,3,6,4,5,6,4,2,5,4
11580940,4,7,5,4,2,3,2,3,3,6
11581134,3,5,4,3,5,5,3,3,5,4
11581555,4,2,6,4,7,4,7,3,5,2
11581620,3,3,6,5,4,6,6,2,5,5
11602380,4,5,6,3,6,4,5,3,5,4
11650702,3,2,5,4,6,5,5,4,5,4
11651220,3,4,7,3,5,6,6,2,5,5
11651466,5,6,6,4,4,2,6,3,3,5
11651689,6,1,5,2,7,2,7,3,6,3
11652569,2,3,5,4,6,7,4,3,4,3
11652658,3,2,6,3,6,4,6,4,5,4
11652702,2,2,7,3,4,6,5,2,6,6
11652900,4,2,5,2,4,4,5,3,6,5
11653598,4,6,7,7,3,3,3,2,1,5
11665444,4,2,5,4,3,5,6,3,4,6
11665450,4,2,6,3,4,4,6,2,5,6
11665465,3,4,6,4,5,6,6,3,4,4
11665605,5,2,7,4,4,3,7,2,5,6
11665637,5,4,7,3,6,3,6,3,5,4
11665717,4,2,6,3,5,4,5,2,6,5
11665781,2,4,6,4,6,6,4,3,5,3
11665846,6,7,5,2,3,2,2,3,4,5
11666017,4,3,6,5,4,4,5,4,2,5
11666076,2,3,6,4,5,6,4,3,5,4
11666153,3,2,6,6,5,5,7,3,3,5
11666462,5,4,5,3,5,3,5,3,5,5
11666481,2,4,5,3,3,5,3,3,5,5
11666498,4,3,7,3,4,4,6,2,6,5
11666541,4,3,6,3,6,4,5,2,6,4
11666969,5,4,6,3,7,3,6,3,6,2
11667145,2,3,5,3,6,6,5,3,5,3
11667383,3,4,5,5,6,5,6,4,4,4
11667572,4,6,6,4,5,6,5,3,5,5
11667573,5,2,6,2,6,3,6,3,6,4
11667632,4,3,6,3,7,4,5,2,5,3
11667763,5,4,4,3,5,6,4,3,5,4
11667966,4,3,8,3,4,3,4,1,5,6
11668005,4,6,5,5,6,4,3,3,4,4
11668041,3,3,7,3,5,5,5,2,6,5
11668218,6,2,2,2,7,2,4,6,5,1
11668279,3,3,8,3,5,6,5,1,6,6
11668368,2,4,6,6,7,7,6,3,3,2
11671634,4,2,6,2,6,4,6,2,6,5
11671697,2,2,6,6,4,7,5,2,4,5
11671818,4,6,6,5,4,4,6,3,4,5
11672647,1,6,7,4,5,6,5,3,4,2
11674611,4,2,6,3,7,4,6,2,6,4
11674631,5,4,5,2,8,3,4,3,5,2
11675287,3,2,5,4,5,6,5,3,5,5
11913392,5,4,5,3,6,4,4,3,5,4
11914120,2,5,5,5,5,7,4,3,3,4
11931829,3,2,6,3,7,5,5,3,6,2
11931864,2,5,4,7,5,6,4,4,2,4
11932074,3,2,6,3,3,5,6,3,6,6
11932189,3,4,6,3,3,5,6,3,5,6
11932374,3,3,6,6,4,5,5,3,4,5
11932375,5,3,5,3,5,4,4,3,5,5
11932406,4,4,7,3,6,5,7,2,6,4
11932489,3,3,7,5,4,5,5,2,5,6
11932513,4,3,6,3,5,4,5,2,6,5
11932694,4,2,7,3,4,4,5,2,6,5
11934473,5,4,5,2,7,3,4,3,5,3
11934547,3,2,6,3,6,5,5,3,5,4
11934574,3,4,6,4,3,5,5,3,5,6
11934591,5,3,6,2,6,3,4,3,6,4
11935138,6,8,2,4,5,1,1,6,2,1
11935599,5,2,7,2,6,3,6,2,6,5
11935789,4,3,6,5,5,5,4,3,4,5
11936703,4,3,6,4,7,4,6,3,5,4
11940020,6,3,6,3,6,3,4,2,5,5
11940898,7,2,5,3,5,1,5,3,5,5
11941590,2,3,5,3,6,6,5,2,5,4
12164954,4,4,6,3,5,4,5,3,6,4
12165018,3,6,6,4,3,4,4,3,5,6
12165146,2,5,6,3,5,6,4,2,6,4
12165229,5,2,7,6,4,3,6,3,3,6
12165240,2,8,3,6,2,5,1,4,1,4
12166182,3,2,5,3,5,4,5,3,5,5
12207478,2,2,6,2,5,6,6,2,7,4
12218235,3,2,6,3,6,5,6,4,6,3
12219352,4,3,7,3,5,4,7,2,6,5
12219557,6,3,7,3,5,3,4,2,6,6
12219667,2,3,5,3,6,6,4,3,6,3
12220463,2,6,6,4,4,7,3,2,4,5
