node,entered,exited,live,rejected,deleted
finish,8,8,0,0,0
start,16,16,0,0,0
task-keg8,4,4,0,0,0
questionnaire-2bh6,8,8,0,0,0
order-iuov,8,8,0,0,0
questionnaire-8v2c,16,11,5,0,0
task-mrfa,4,3,1,0,0
questionnaire-rrqf,8,8,0,0,0
questionnaire-mcfk,8,8,0,0,0
questionnaire-ptwy,8,8,0,0,0
questionnaire-mkoe,4,4,0,0,0
questionnaire-yurm,8,8,0,0,0
questionnaire-4793,3,3,0,0,0
task-vs28,5,5,0,0,0
questionnaire-5yf1,5,5,0,0,0
questionnaire-a8jv,5,5,0,0,0
task-xy27,6,5,1,0,0
randomiser-bl99,10,10,0,0,0
task-l2e9,11,10,1,0,0
