Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1693144810731,27/08/2023 14:00:10,1693144810018,-7,27/08/2023 07:00:10,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,BEGIN QUESTIONNAIRE,
2,1693144826478,27/08/2023 14:00:26,1693144825801,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-1,Agree
3,1693144826678,27/08/2023 14:00:26,1693144825802,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-1-quantised,4
4,1693144826678,27/08/2023 14:00:26,1693144825802,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-2,Strongly Agree
5,1693144826678,27/08/2023 14:00:26,1693144825802,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-2-quantised,5
6,1693144826678,27/08/2023 14:00:26,1693144825803,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-5,Disagree
7,1693144826678,27/08/2023 14:00:26,1693144825803,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-5-quantised,2
8,1693144826678,27/08/2023 14:00:26,1693144825803,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-3,Neutral
9,1693144826678,27/08/2023 14:00:26,1693144825803,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-3-quantised,3
10,1693144826678,27/08/2023 14:00:26,1693144825803,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-6,Disagree
11,1693144826678,27/08/2023 14:00:26,1693144825803,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-6-quantised,2
12,1693144826678,27/08/2023 14:00:26,1693144825803,-7,27/08/2023 07:00:25,132936,11,questionnaire-5yf1,,31381862,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,END QUESTIONNAIRE,15785
1,1693146985480,27/08/2023 14:36:25,1693146985930,-10,27/08/2023 04:36:25,132936,11,questionnaire-5yf1,,31381970,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,,Individual Bot Questionnaire,2,ABC,2,No,BEGIN QUESTIONNAIRE,
2,1693146991504,27/08/2023 14:36:31,1693146991995,-10,27/08/2023 04:36:31,132936,11,questionnaire-5yf1,,31381970,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,,Individual Bot Questionnaire,2,ABC,2,No,response-1,Agree
3,1693146991744,27/08/2023 14:36:31,1693146991996,-10,27/08/2023 04:36:31,132936,11,questionnaire-5yf1,,31381970,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,,Individual Bot Questionnaire,2,ABC,2,No,response-1-quantised,4
