Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1693178040426,27/08/2023 23:14:00,1693152840426,-7,27/08/2023 09:14:00,132936,11,questionnaire-8v2c,,31381900,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,welcomeAndConsent,9,CAB,1,,,,,5,,BEGIN,,,,,
2,1693178143800,27/08/2023 23:15:43,1693152943800,-7,27/08/2023 09:15:43,132936,11,questionnaire-8v2c,,31381900,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,What is your age?,response,value,46,,,Number Entry,3,object-4
3,1693178143800,27/08/2023 23:15:43,1693152943800,-7,27/08/2023 09:15:43,132936,11,questionnaire-8v2c,,31381900,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693178143801,27/08/2023 23:15:43,1693152943801,-7,27/08/2023 09:15:43,132936,11,questionnaire-8v2c,,31381900,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1693178143801,27/08/2023 23:15:43,1693152943801,-7,27/08/2023 09:15:43,132936,11,questionnaire-8v2c,,31381900,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693178143801,27/08/2023 23:15:43,1693152943801,-7,27/08/2023 09:15:43,132936,11,questionnaire-8v2c,,31381900,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,welcomeAndConsent,9,CAB,1,,,,,5,,END,,,,,
1,1693169390368,27/08/2023 20:49:50,1693154990368,-4,27/08/2023 12:49:50,132936,11,questionnaire-8v2c,,31382696,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,788x641,,,0,welcomeAndConsent,9,BCA,2,,,,,5,,BEGIN,,,,,
2,1693169492024,27/08/2023 20:51:32,1693155092024,-4,27/08/2023 12:51:32,132936,11,questionnaire-8v2c,,31382696,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your age?,response,value,45,,,Number Entry,3,object-4
3,1693169492025,27/08/2023 20:51:32,1693155092025,-4,27/08/2023 12:51:32,132936,11,questionnaire-8v2c,,31382696,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693169492026,27/08/2023 20:51:32,1693155092026,-4,27/08/2023 12:51:32,132936,11,questionnaire-8v2c,,31382696,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
