Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1693145421554,27/08/2023 14:10:21,1693145420842,-7,27/08/2023 07:10:20,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,BEGIN QUESTIONNAIRE,
2,1693145432048,27/08/2023 14:10:32,1693145431374,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-1,Neutral
3,1693145432374,27/08/2023 14:10:32,1693145431375,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-1-quantised,3
4,1693145432374,27/08/2023 14:10:32,1693145431375,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-2,Neutral
5,1693145432374,27/08/2023 14:10:32,1693145431375,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-2-quantised,3
6,1693145432374,27/08/2023 14:10:32,1693145431375,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-5,Agree
7,1693145432374,27/08/2023 14:10:32,1693145431375,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-5-quantised,4
8,1693145432374,27/08/2023 14:10:32,1693145431375,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-3,Neutral
9,1693145432374,27/08/2023 14:10:32,1693145431375,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-3-quantised,3
10,1693145432374,27/08/2023 14:10:32,1693145431376,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-6,Agree
11,1693145432374,27/08/2023 14:10:32,1693145431376,-7,27/08/2023 07:10:31,132936,11,questionnaire-a8jv,,31381884,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,,Individual Bot Questionnaire,2,BCA,2,No,response-6-quantised,4
