Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1693144642126,27/08/2023 13:57:22,1693144641697,-4,27/08/2023 09:57:21,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,BFI10,2,ABC,1,No,BEGIN QUESTIONNAIRE,
2,1693144659247,27/08/2023 13:57:39,1693144659097,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,extroversion_score,4
3,1693144659405,27/08/2023 13:57:39,1693144659098,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,extroversion_rating,Medium Low
4,1693144659405,27/08/2023 13:57:39,1693144659098,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,agreeableness_score,7
5,1693144659405,27/08/2023 13:57:39,1693144659098,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,agreeableness_rating,High
6,1693144659405,27/08/2023 13:57:39,1693144659098,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,conscientiousness_score,6.5
7,1693144659405,27/08/2023 13:57:39,1693144659098,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,conscientiousness_rating,Medium High
8,1693144659405,27/08/2023 13:57:39,1693144659098,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,emotional_stability_score,5
9,1693144659405,27/08/2023 13:57:39,1693144659098,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,emotional_stability_rating,Medium High
10,1693144659405,27/08/2023 13:57:39,1693144659099,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,openness_score,4
11,1693144659405,27/08/2023 13:57:39,1693144659099,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,openness_rating,Low
12,1693144659405,27/08/2023 13:57:39,1693144659099,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,extroversionNormal,5
13,1693144659405,27/08/2023 13:57:39,1693144659099,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,extroversionNormal-quantised,5
14,1693144659405,27/08/2023 13:57:39,1693144659099,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,agreeablenessReverse,1
15,1693144659405,27/08/2023 13:57:39,1693144659099,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,agreeablenessReverse-quantised,1
16,1693144659405,27/08/2023 13:57:39,1693144659100,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,conscientiousnessNormal,6
17,1693144659405,27/08/2023 13:57:39,1693144659100,-4,27/08/2023 09:57:39,132936,11,questionnaire-mcfk,,31381857,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,BFI10,2,ABC,1,No,conscientiousnessNormal-quantised,6
