Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1693143460214,27/08/2023 13:37:40,1693143459603,-4,27/08/2023 09:37:39,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,BEGIN QUESTIONNAIRE,
2,1693143468280,27/08/2023 13:37:48,1693143467691,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-1,Agree
3,1693143468406,27/08/2023 13:37:48,1693143467692,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-1-quantised,4
4,1693143468406,27/08/2023 13:37:48,1693143467692,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-2,Strongly Agree
5,1693143468406,27/08/2023 13:37:48,1693143467692,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-2-quantised,5
6,1693143468406,27/08/2023 13:37:48,1693143467692,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-5,Strongly Disagree
7,1693143468406,27/08/2023 13:37:48,1693143467692,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-5-quantised,1
8,1693143468406,27/08/2023 13:37:48,1693143467692,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-3,Agree
9,1693143468406,27/08/2023 13:37:48,1693143467693,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-3-quantised,4
10,1693143468406,27/08/2023 13:37:48,1693143467693,-4,27/08/2023 09:37:47,132936,11,questionnaire-mkoe,,31381743,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-6,Disagree
