Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1693151469400,27/08/2023 15:51:09,1693151469274,-4,27/08/2023 11:51:09,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1693151523391,27/08/2023 15:52:03,1693151523333,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-1,2
3,1693151523522,27/08/2023 15:52:03,1693151523335,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-1-quantised,5
4,1693151523522,27/08/2023 15:52:03,1693151523335,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-2,1
5,1693151523522,27/08/2023 15:52:03,1693151523335,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-2-quantised,4
6,1693151523522,27/08/2023 15:52:03,1693151523335,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-3,1
7,1693151523522,27/08/2023 15:52:03,1693151523335,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-3-quantised,4
8,1693151523522,27/08/2023 15:52:03,1693151523335,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-4,1
9,1693151523522,27/08/2023 15:52:03,1693151523335,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-4-quantised,4
10,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-5,-2
11,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-5-quantised,2
12,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-6,-2
13,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-6-quantised,2
14,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-7,2
15,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-7-quantised,5
16,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-8,1
17,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-8-quantised,4
18,1693151523522,27/08/2023 15:52:03,1693151523336,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-9,-1
19,1693151523522,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-9-quantised,3
20,1693151523522,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-10,-1
21,1693151523522,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-10-quantised,3
22,1693151523522,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-11,1
23,1693151523641,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-11-quantised,4
24,1693151523641,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-12,-1
25,1693151523641,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-12-quantised,3
26,1693151523641,27/08/2023 15:52:03,1693151523337,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-13,-1
27,1693151523641,27/08/2023 15:52:03,1693151523338,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-13-quantised,3
28,1693151523641,27/08/2023 15:52:03,1693151523338,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-14,-1
29,1693151523641,27/08/2023 15:52:03,1693151523338,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-14-quantised,3
30,1693151523641,27/08/2023 15:52:03,1693151523338,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-15,1
31,1693151523641,27/08/2023 15:52:03,1693151523338,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-15-quantised,4
32,1693151523641,27/08/2023 15:52:03,1693151523338,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-16,-1
33,1693151523641,27/08/2023 15:52:03,1693151523339,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-16-quantised,3
34,1693151523641,27/08/2023 15:52:03,1693151523339,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-17,1
35,1693151523641,27/08/2023 15:52:03,1693151523339,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-17-quantised,4
36,1693151523641,27/08/2023 15:52:03,1693151523339,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-18,1
37,1693151523641,27/08/2023 15:52:03,1693151523339,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-18-quantised,4
38,1693151523641,27/08/2023 15:52:03,1693151523340,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-19,1
39,1693151523641,27/08/2023 15:52:03,1693151523340,-4,27/08/2023 11:52:03,132936,11,questionnaire-rrqf,,31382373,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,PI-18 ,1,CAB,1,No,responses-19-quantised,4
