Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1693178168433,27/08/2023 23:16:08,1693152968433,-7,27/08/2023 09:16:08,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693178181217,27/08/2023 23:16:21,1693152981217,-7,27/08/2023 09:16:21,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,1,chat1,Screen 2,66299v,1,continue,,12779.521999999997,12779.521999999997,12779.521999999997,12779.521999999997,12779.521999999997,12779.521999999997,1,12779.521999999997,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1693179066633,27/08/2023 23:31:06,1693153866633,-7,27/08/2023 09:31:06,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,885417.736,885417.736,885417.736,885417.736,885417.736,885417.736,1,885417.736,0,0,,Click To Continue,Continue Button,2,object-68,chat1,
4,1693179075398,27/08/2023 23:31:15,1693153875398,-7,27/08/2023 09:31:15,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,continue,,8742.139999999898,8742.139999999898,8742.139999999898,8742.139999999898,8742.139999999898,8742.139999999898,1,8742.139999999898,0,0,,Click To Continue,Continue Button,7,object-28,ratings1,
5,1693179075400,27/08/2023 23:31:15,1693153875400,-7,27/08/2023 09:31:15,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,94,2419.0359999999637,8742.139999999898,8742.139999999898,2419.0359999999637,8742.139999999898,8742.139999999898,1,2419.0359999999637,6323.103999999934,0,,Slider,enjoy,1,object-16,ratings1,
6,1693179075400,27/08/2023 23:31:15,1693153875400,-7,27/08/2023 09:31:15,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,97,4888.31799999997,8742.139999999898,8742.139999999898,4888.31799999997,8742.139999999898,8742.139999999898,1,4888.31799999997,3853.8219999999274,0,,Slider,understand,2,object-17,ratings1,
7,1693179075402,27/08/2023 23:31:15,1693153875402,-7,27/08/2023 09:31:15,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,98,7374.118999999948,8742.139999999898,8742.139999999898,7374.118999999948,8742.139999999898,8742.139999999898,1,7374.118999999948,1368.0209999999497,0,,Slider,chatAgain,6,object-21,ratings1,
8,1693179075405,27/08/2023 23:31:15,1693153875405,-7,27/08/2023 09:31:15,132936,11,task-keg8,,31381907,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693164418325,27/08/2023 19:26:58,1693150018325,-4,27/08/2023 11:26:58,132936,11,task-keg8,,31382236,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693164420961,27/08/2023 19:27:00,1693150020961,-4,27/08/2023 11:27:00,132936,11,task-keg8,,31382236,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat1,1,chat1,Screen 2,66299v,1,continue,,18118.247,18118.247,18118.247,18118.247,18118.247,18118.247,1,18118.247,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1693164961290,27/08/2023 19:36:01,1693150561290,-4,27/08/2023 11:36:01,132936,11,task-keg8,,31382236,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,540324.926,540324.926,540324.926,540324.926,540324.926,540324.926,1,540324.926,0,0,,Click To Continue,Continue Button,2,object-68,chat1,
4,1693164969013,27/08/2023 19:36:09,1693150569013,-4,27/08/2023 11:36:09,132936,11,task-keg8,,31382236,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,continue,,7706.7820000000065,7706.7820000000065,7706.7820000000065,7706.7820000000065,7706.7820000000065,7706.7820000000065,1,7706.7820000000065,0,0,,Click To Continue,Continue Button,7,object-28,ratings1,
5,1693164969014,27/08/2023 19:36:09,1693150569014,-4,27/08/2023 11:36:09,132936,11,task-keg8,,31382236,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,52,2173.670000000042,7706.7820000000065,7706.7820000000065,2173.670000000042,7706.7820000000065,7706.7820000000065,1,2173.670000000042,5533.111999999965,0,,Slider,enjoy,1,object-16,ratings1,
6,1693164969014,27/08/2023 19:36:09,1693150569014,-4,27/08/2023 11:36:09,132936,11,task-keg8,,31382236,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,78,3973.597999999998,7706.7820000000065,7706.7820000000065,3973.597999999998,7706.7820000000065,7706.7820000000065,1,3973.597999999998,3733.1840000000084,0,,Slider,understand,2,object-17,ratings1,
