Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1693156979666,27/08/2023 17:22:59,1693142579666,-4,27/08/2023 09:22:59,132936,11,task-l2e9,,31381699,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693156990523,27/08/2023 17:23:10,1693142590523,-4,27/08/2023 09:23:10,132936,11,task-l2e9,,31381699,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,intro,1,introduction,Screen 1,kjt9m9,1,continue,,10873.585999999255,10868.41,10873.585999999255,10873.585999999255,10868.41,10873.585999999255,1,10873.585999999255,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1693156990526,27/08/2023 17:23:10,1693142590526,-4,27/08/2023 09:23:10,132936,11,task-l2e9,,31381699,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693169288515,27/08/2023 20:48:08,1693144088515,-7,27/08/2023 06:48:08,132936,11,task-l2e9,,31381797,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693169306945,27/08/2023 20:48:26,1693144106945,-7,27/08/2023 06:48:26,132936,11,task-l2e9,,31381797,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,intro,1,introduction,Screen 1,kjt9m9,1,continue,,18453.361000000186,18448.305,18453.361000000186,18453.361000000186,18448.305,18453.361000000186,1,18453.361000000186,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1693169306949,27/08/2023 20:48:26,1693144106949,-7,27/08/2023 06:48:26,132936,11,task-l2e9,,31381797,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693178149621,27/08/2023 23:15:49,1693152949621,-7,27/08/2023 09:15:49,132936,11,task-l2e9,,31381904,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693178165780,27/08/2023 23:16:05,1693152965780,-7,27/08/2023 09:16:05,132936,11,task-l2e9,,31381904,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,intro,1,introduction,Screen 1,kjt9m9,1,continue,,16166.137,16149.494,16166.137,16166.137,16149.494,16166.137,1,16166.137,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1693178165791,27/08/2023 23:16:05,1693152965791,-7,27/08/2023 09:16:05,132936,11,task-l2e9,,31381904,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,0,Task,15,CAB,1,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693182021453,28/08/2023 00:20:21,1693146021453,-10,27/08/2023 04:20:21,132936,11,task-l2e9,,31381924,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,Task,15,ABC,2,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693182049097,28/08/2023 00:20:49,1693146049097,-10,27/08/2023 04:20:49,132936,11,task-l2e9,,31381924,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,Task,15,ABC,2,intro,1,introduction,Screen 1,kjt9m9,1,continue,,33237.5,33234.397,33237.5,33237.5,33234.397,33237.5,1,33237.5,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1693182049099,28/08/2023 00:20:49,1693146049099,-10,27/08/2023 04:20:49,132936,11,task-l2e9,,31381924,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,Task,15,ABC,2,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693173365006,27/08/2023 21:56:05,1693148165006,-7,27/08/2023 07:56:05,132936,11,task-l2e9,,31382066,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
