Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1688478394609,04/07/2023 13:46:34,1688481994609,1,04/07/2023 15:46:34,132936,8,questionnaire-ptwy,,30473849,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Debrief,3,CAB,1,,,,,5,,BEGIN,,,,,
2,1688478406965,04/07/2023 13:46:46,1688482006965,1,04/07/2023 15:46:46,132936,8,questionnaire-ptwy,,30473849,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Debrief,3,CAB,1,Page 1,7qjuv8,1,,continue,,,,,screen,0,screen
3,1688478406967,04/07/2023 13:46:46,1688482006967,1,04/07/2023 15:46:46,132936,8,questionnaire-ptwy,,30473849,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Debrief,3,CAB,1,,,,,5,,END,,,,,
1,1688018578410,29/06/2023 06:02:58,1688007778410,-3,29/06/2023 00:02:58,132936,8,questionnaire-ptwy,,30373716,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Debrief,3,BCA,2,,,,,5,,BEGIN,,,,,
2,1688018584599,29/06/2023 06:03:04,1688007784599,-3,29/06/2023 00:03:04,132936,8,questionnaire-ptwy,,30373716,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Debrief,3,BCA,2,Page 1,7qjuv8,1,,continue,,,,,screen,0,screen
3,1688018584601,29/06/2023 06:03:04,1688007784601,-3,29/06/2023 00:03:04,132936,8,questionnaire-ptwy,,30373716,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Debrief,3,BCA,2,,,,,5,,END,,,,,
1,1687811442184,26/06/2023 20:30:42,1687800642184,-3,26/06/2023 14:30:42,132936,8,questionnaire-ptwy,,30311470,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Debrief,3,ABC,2,,,,,5,,BEGIN,,,,,
2,1687811444186,26/06/2023 20:30:44,1687800644186,-3,26/06/2023 14:30:44,132936,8,questionnaire-ptwy,,30311470,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Debrief,3,ABC,2,Page 1,7qjuv8,1,,continue,,,,,screen,0,screen
3,1687811444188,26/06/2023 20:30:44,1687800644188,-3,26/06/2023 14:30:44,132936,8,questionnaire-ptwy,,30311470,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Debrief,3,ABC,2,,,,,5,,END,,,,,
END OF FILE
