Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1688016454947,29/06/2023 05:27:34,1688005654947,-3,28/06/2023 23:27:34,132936,8,task-l2e9,,30373488,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,Task,10,BCA,2,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1688016462523,29/06/2023 05:27:42,1688005662523,-3,28/06/2023 23:27:42,132936,8,task-l2e9,,30373488,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,Task,10,BCA,2,intro,1,introduction,Screen 1,kjt9m9,1,continue,,7598.098000011921,7583.03,7598.098000011921,7598.098000011921,7583.03,7598.098000011921,1,7598.098000011921,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1688016462526,29/06/2023 05:27:42,1688005662526,-3,28/06/2023 23:27:42,132936,8,task-l2e9,,30373488,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,Task,10,BCA,2,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1688476681073,04/07/2023 13:18:01,1688480281073,1,04/07/2023 15:18:01,132936,8,task-l2e9,,30473082,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,Task,10,CAB,1,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1688476692343,04/07/2023 13:18:12,1688480292343,1,04/07/2023 15:18:12,132936,8,task-l2e9,,30473082,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,Task,10,CAB,1,intro,1,introduction,Screen 1,kjt9m9,1,continue,,12127,12121,12127,12127,12121,12127,1,12127,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1688476692348,04/07/2023 13:18:12,1688480292348,1,04/07/2023 15:18:12,132936,8,task-l2e9,,30473082,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,Task,10,CAB,1,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1687809742020,26/06/2023 20:02:22,1687798942020,-3,26/06/2023 14:02:22,132936,8,task-l2e9,,30311100,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1687809757487,26/06/2023 20:02:37,1687798957487,-3,26/06/2023 14:02:37,132936,8,task-l2e9,,30311100,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,intro,1,introduction,Screen 1,kjt9m9,1,continue,,17678,17670,17678,17678,17670,17678,1,17678,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1687809757495,26/06/2023 20:02:37,1687798957495,-3,26/06/2023 14:02:37,132936,8,task-l2e9,,30311100,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
END OF FILE
