Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1688017372759,29/06/2023 05:42:52,1688006572759,-3,28/06/2023 23:42:52,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1688017374674,29/06/2023 05:42:54,1688006574674,-3,28/06/2023 23:42:54,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,1,chat1,Screen 2,66299v,1,continue,,1925.5110000178813,1916.59,1925.5110000178813,1925.5110000178813,1916.59,1925.5110000178813,1,1925.5110000178813,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1688017974680,29/06/2023 05:52:54,1688007174680,-3,28/06/2023 23:52:54,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,600015.5210000119,600008.077,600015.5210000119,600015.5210000119,600008.077,600015.5210000119,1,600015.5210000119,0,0,,Time Limit,screen,0,screen,chat1,
4,1688017986809,29/06/2023 05:53:06,1688007186809,-3,28/06/2023 23:53:06,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,continue,,12125.74399999401,12117.365999999922,12125.74399999401,12125.74399999401,12117.365999999922,12125.74399999401,1,12125.74399999401,0,0,,Click To Continue,Continue Button,7,object-28,ratings1,
5,1688017986810,29/06/2023 05:53:06,1688007186810,-3,28/06/2023 23:53:06,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,response,61,6334.2639999999665,12117.365999999922,12134.03199999989,6334.2639999999665,12117.365999999922,12134.03199999989,1,6334.2639999999665,5799.767999999924,0,,Slider,Keyboard Response,1,object-16,ratings1,
6,1688017986811,29/06/2023 05:53:06,1688007186811,-3,28/06/2023 23:53:06,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,response,37,4083.1699999999255,12117.365999999922,12134.03199999989,4083.1699999999255,12117.365999999922,12134.03199999989,1,4083.1699999999255,8050.861999999965,0,,Slider,,2,object-17,ratings1,
7,1688017986811,29/06/2023 05:53:06,1688007186811,-3,28/06/2023 23:53:06,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,response,59,10650.757999999914,12117.365999999922,12134.03199999989,10650.757999999914,12117.365999999922,12134.03199999989,1,10650.757999999914,1483.2739999999758,0,,Slider,,6,object-21,ratings1,
8,1688017986812,29/06/2023 05:53:06,1688007186812,-3,28/06/2023 23:53:06,132936,8,task-vs28,,30373542,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1687810401607,26/06/2023 20:13:21,1687799601607,-3,26/06/2023 14:13:21,132936,8,task-vs28,,30311228,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1687810403723,26/06/2023 20:13:23,1687799603723,-3,26/06/2023 14:13:23,132936,8,task-vs28,,30311228,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat1,1,chat1,Screen 2,66299v,1,continue,,2113,2096,2113,2113,2096,2113,1,2113,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
