Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1688016465231,29/06/2023 05:27:45,1688005665231,-3,28/06/2023 23:27:45,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,Task,10,BCA,2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1688016467567,29/06/2023 05:27:47,1688005667567,-3,28/06/2023 23:27:47,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,Task,10,BCA,2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,16193.261,16193.261,16193.261,16193.261,16193.261,16193.261,1,16193.261,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1688016728813,29/06/2023 05:32:08,1688005928813,-3,28/06/2023 23:32:08,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
4,1688017328809,29/06/2023 05:42:08,1688006528809,-3,28/06/2023 23:42:08,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat2,1,chat2,Screen 1,go9hgm,1,timedOut,,600005.0480000179,599992.631,600005.0480000179,600005.0480000179,599992.631,600005.0480000179,1,600005.0480000179,0,0,,Time Limit,screen,0,screen,chat2,
5,1688017349032,29/06/2023 05:42:29,1688006549032,-3,28/06/2023 23:42:29,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,continue,,20230.317000023788,20218.10499999998,20230.317000023788,20230.317000023788,20218.10499999998,20230.317000023788,1,20230.317000023788,0,0,,Click To Continue,Continue Button,7,object-53,ratings2,
6,1688017349034,29/06/2023 05:42:29,1688006549034,-3,28/06/2023 23:42:29,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,71,11634.226999999955,20218.10499999998,20234.771000000066,11634.226999999955,20218.10499999998,20234.771000000066,1,11634.226999999955,8600.54400000011,0,,Slider,Keyboard Response,1,object-47,ratings2,
7,1688017349034,29/06/2023 05:42:29,1688006549034,-3,28/06/2023 23:42:29,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,40,6816.393999999971,20218.10499999998,20234.771000000066,6816.393999999971,20218.10499999998,20234.771000000066,1,6816.393999999971,13418.377000000095,0,,Slider,,2,object-48,ratings2,
8,1688017349034,29/06/2023 05:42:29,1688006549034,-3,28/06/2023 23:42:29,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,10,17483.9929999999,20218.10499999998,20234.771000000066,17483.9929999999,20218.10499999998,20234.771000000066,1,17483.9929999999,2750.778000000166,0,,Slider,,6,object-52,ratings2,
9,1688017349035,29/06/2023 05:42:29,1688006549035,-3,28/06/2023 23:42:29,132936,8,task-xy27,,30373491,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Task,10,BCA,2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1687809760673,26/06/2023 20:02:40,1687798960673,-3,26/06/2023 14:02:40,132936,8,task-xy27,,30311110,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1687809763589,26/06/2023 20:02:43,1687798963589,-3,26/06/2023 14:02:43,132936,8,task-xy27,,30311110,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2911,2911,2911,2911,2911,2911,1,2911,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1687810363581,26/06/2023 20:12:43,1687799563581,-3,26/06/2023 14:12:43,132936,8,task-xy27,,30311110,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat2,1,chat2,Screen 1,go9hgm,2,timedOut,,600002,600001,600002,600002,600001,600002,1,600002,0,0,,Time Limit,screen,0,screen,chat2,
4,1687810379999,26/06/2023 20:12:59,1687799579999,-3,26/06/2023 14:12:59,132936,8,task-xy27,,30311110,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat2,1,ratings2,Screen 1,9n2rzw,1,continue,,16417,16417,16417,16417,16417,16417,1,16417,0,0,,Click To Continue,Continue Button,7,object-53,ratings2,
5,1687810380002,26/06/2023 20:13:00,1687799580002,-3,26/06/2023 14:13:00,132936,8,task-xy27,,30311110,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,66,8934,16417,16417,8934,16417,16417,1,8934,7483,0,,Slider,Keyboard Response,1,object-47,ratings2,
6,1687810380002,26/06/2023 20:13:00,1687799580002,-3,26/06/2023 14:13:00,132936,8,task-xy27,,30311110,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,94,12967,16417,16417,12967,16417,16417,1,12967,3450,0,,Slider,,2,object-48,ratings2,
7,1687810380003,26/06/2023 20:13:00,1687799580003,-3,26/06/2023 14:13:00,132936,8,task-xy27,,30311110,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Task,10,ABC,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,81,15384,16417,16417,15384,16417,16417,1,15384,1033,0,,Slider,,6,object-52,ratings2,
