userid,GPTmessage,GPTtimestamp,GPTsentiment,usermessage,usertimestamp,usersentiment,botpersonality,GPTwordnums,userwordnums,chatlength
1.69314E+12,"Hey, how are you doing?",1.69314E+12, Neutral,"I am great, how about you?",1.69314E+12, Positive,anxious,5,6,11656
1.69314E+12,"I'm glad to hear you're doing well. As for me, I've been feeling a bit restless and nervous lately.",1.69314E+12, Mixed,"I am sorry to hear that, what do you think is causing it",1.69314E+12, Neutral,anxious,19,13,34514
1.69314E+12,"I'm not entirely sure. It could be a combination of things, like work stress and personal issues. I tend to worry about everything, even the small stuff that doesn't really matter.
",1.69314E+12, Mixed,"I can relate to that, I am an anxious person",1.69314E+12, Neutral,anxious,31,10,58015
1.69314E+12,"I'm sorry to hear that you can relate. It's not easy dealing with anxiety, is it? The constant feeling of unease and restlessness can be quite draining.",1.69314E+12, Neutral,"yes, it's not knowing what to expect for me. A lack of control of a situation",1.69314E+12, Neutral,anxious,27,16,85161
1.69314E+12,"I completely understand. The uncertainty and lack of control can be really unsettling. It's like you're always on edge, waiting for the other shoe to drop.
",1.69314E+12, Neutral,how do you deal with it,1.69314E+12, Neutral,anxious,26,6,100740
1.69314E+12,"It's a struggle, honestly. Sometimes I try to distract myself with hobbies or tasks but the thoughts still creep in. It can be hard to feel secure and content.
",1.69314E+12, Mixed,"I have learned over the years that once I do something, I worry about it less. I really stress the 1st time, but then it progressively gets easier",1.69314E+12, Neutral,anxious,29,28,146483
1.69314E+12,"That's a great approach. I've noticed that too, once you face something head-on it does seem to get easier over time. It's just the initial hurdle that can be so daunting.
",1.69314E+12, Neutral,"yes, I agree. I used to get so anxious at the dentist I had to be sedated. I am now able to go in, a little stressed but can work through it with out the sedation",1.69314E+12, Neutral,anxious,31,36,193961
1.69314E+12,"That's a huge accomplishment! It must have taken a lot of courage to face that fear. I'm still working on managing my own anxieties, but hearing about your progress gives me hope.
",1.69314E+12, Positive,"I used to have panic attacks but I learned if you try and take a set of numbers and repeat them out of order, like 1-10, but say them in your head like 4 1 4 7 6 2 9 8 10..your brain can not go into a full blown attack",1.69314E+12, Positive,anxious,32,51,275574
1.69314E+12,"That's an interesting technique, I've never heard of that before. It sounds like it could be a good way to distract the mind and regain some control during moments of high anxiety. Thanks for sharing.
",1.69314E+12, Neutral,no problem I hope it can help you to cope. Anxiety is a stressful thing,1.69314E+12, Neutral,anxious,35,15,307524
1.69314E+12,I appreciate your advice and support. It's comforting to know that others understand what I'm going through.,1.69314E+12, Positive,do you have family support,1.69314E+12, Neutral,anxious,17,5,324555
1.69314E+12,"Yes, I do have family support. They try their best to understand and help me through tough times. It's not always easy for them either.
",1.69314E+12, Mixed,I have a son who also suffers from it. I am wondering if it is something learned or genetic,1.69314E+12, Neutral,anxious,25,19,353153
1.69314E+12,"I've wondered the same thing. It's hard to say, as it could be a combination of both genetic and environmental factors. I'm sorry your son is also dealing with this.
",1.69314E+12, Neutral,"I agree, because my mother is also a worrier",1.69314E+12, Neutral,anxious,30,9,374726
1.69314E+12,"It's tough when it seems like anxiety runs in the family. I hope you all find ways to manage and support each other through it.
",1.69314E+12, Neutral,what do you do for fun,1.69314E+12, Neutral,anxious,25,6,400584
