Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1693144410812,27/08/2023 13:53:30,1693144410647,-4,27/08/2023 09:53:30,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,SCL-90 R_english,1,ABC,1,No,BEGIN QUESTIONNAIRE,
2,1693144566126,27/08/2023 13:56:06,1693144565981,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-1,0
3,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-1-quantised,1
4,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-2,0
5,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-2-quantised,1
6,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-3,0
7,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-3-quantised,1
8,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-4,0
9,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-4-quantised,1
10,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-5,2
11,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-5-quantised,3
12,1693144566466,27/08/2023 13:56:06,1693144565983,-4,27/08/2023 09:56:05,132936,11,questionnaire-2bh6,,31381835,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1096x802,,,,SCL-90 R_english,1,ABC,1,No,response-1-6,0
