Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1693144324731,27/08/2023 13:52:04,1693144324547,-4,27/08/2023 09:52:04,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,BEGIN QUESTIONNAIRE,
2,1693144338110,27/08/2023 13:52:18,1693144337994,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-1,Disagree
3,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-1-quantised,2
4,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-2,Disagree
5,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-2-quantised,2
6,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-5,Agree
7,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-5-quantised,4
8,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-3,Neutral
9,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-3-quantised,3
10,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-6,Agree
11,1693144338248,27/08/2023 13:52:18,1693144337995,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,response-6-quantised,4
12,1693144338248,27/08/2023 13:52:18,1693144337996,-4,27/08/2023 09:52:17,132936,11,questionnaire-4793,,31381829,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,,Individual Bot Questionnaire,2,ABC,1,No,END QUESTIONNAIRE,13449
1,1693151233439,27/08/2023 15:47:13,1693151233325,-4,27/08/2023 11:47:13,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1693151242420,27/08/2023 15:47:22,1693151242349,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-1,Agree
3,1693151242542,27/08/2023 15:47:22,1693151242350,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-1-quantised,4
4,1693151242542,27/08/2023 15:47:22,1693151242350,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2,Agree
5,1693151242542,27/08/2023 15:47:22,1693151242350,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2-quantised,4
6,1693151242542,27/08/2023 15:47:22,1693151242351,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5,Disagree
7,1693151242542,27/08/2023 15:47:22,1693151242351,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5-quantised,2
8,1693151242542,27/08/2023 15:47:22,1693151242351,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3,Agree
9,1693151242542,27/08/2023 15:47:22,1693151242351,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3-quantised,4
10,1693151242542,27/08/2023 15:47:22,1693151242352,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6,Neutral
11,1693151242542,27/08/2023 15:47:22,1693151242352,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6-quantised,3
12,1693151242542,27/08/2023 15:47:22,1693151242353,-4,27/08/2023 11:47:22,132936,11,questionnaire-4793,,31382354,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,END QUESTIONNAIRE,9028
1,1693147676779,27/08/2023 14:47:56,1693154823496,-7,27/08/2023 09:47:03,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1693147692467,27/08/2023 14:48:12,1693154839223,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-1,Agree
3,1693147692586,27/08/2023 14:48:12,1693154839224,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-1-quantised,4
4,1693147692586,27/08/2023 14:48:12,1693154839224,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2,Agree
5,1693147692586,27/08/2023 14:48:12,1693154839224,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2-quantised,4
6,1693147692586,27/08/2023 14:48:12,1693154839225,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5,Disagree
7,1693147692586,27/08/2023 14:48:12,1693154839225,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5-quantised,2
8,1693147692586,27/08/2023 14:48:12,1693154839225,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3,Disagree
9,1693147692586,27/08/2023 14:48:12,1693154839225,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3-quantised,2
10,1693147692586,27/08/2023 14:48:12,1693154839225,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6,Disagree
11,1693147692586,27/08/2023 14:48:12,1693154839225,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6-quantised,2
12,1693147692586,27/08/2023 14:48:12,1693154839226,-7,27/08/2023 09:47:19,132936,11,questionnaire-4793,,31382009,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,END QUESTIONNAIRE,15731
END OF FILE
