Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1693159064783,27/08/2023 17:57:44,1693144664783,-4,27/08/2023 09:57:44,132936,11,questionnaire-ptwy,,31381858,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Debrief,3,ABC,1,,,,,5,,BEGIN,,,,,
2,1693159069340,27/08/2023 17:57:49,1693144669340,-4,27/08/2023 09:57:49,132936,11,questionnaire-ptwy,,31381858,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Debrief,3,ABC,1,,,,,5,,END,,,,,
1,1693169355884,27/08/2023 20:49:15,1693154955884,-4,27/08/2023 12:49:15,132936,11,questionnaire-ptwy,,31382694,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1239x957,,,0,Debrief,3,ABC,2,,,,,5,,BEGIN,,,,,
2,1693169362694,27/08/2023 20:49:22,1693154962694,-4,27/08/2023 12:49:22,132936,11,questionnaire-ptwy,,31382694,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1239x957,,,0,Debrief,3,ABC,2,,,,,5,,END,,,,,
1,1693171061113,27/08/2023 21:17:41,1693156661113,-4,27/08/2023 13:17:41,132936,11,questionnaire-ptwy,,31382816,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x768,,,0,Debrief,3,BCA,2,,,,,5,,BEGIN,,,,,
2,1693171066752,27/08/2023 21:17:46,1693156666752,-4,27/08/2023 13:17:46,132936,11,questionnaire-ptwy,,31382816,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x768,,,0,Debrief,3,BCA,2,,,,,5,,END,,,,,
1,1693165927864,27/08/2023 19:52:07,1693151527864,-4,27/08/2023 11:52:07,132936,11,questionnaire-ptwy,,31382379,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Debrief,3,CAB,1,,,,,5,,BEGIN,,,,,
2,1693165949549,27/08/2023 19:52:29,1693151549549,-4,27/08/2023 11:52:29,132936,11,questionnaire-ptwy,,31382379,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Debrief,3,CAB,1,,,,,5,,END,,,,,
1,1693175694240,27/08/2023 22:34:54,1693150494240,-7,27/08/2023 08:34:54,132936,11,questionnaire-ptwy,,31382279,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Debrief,3,BCA,2,,,,,5,,BEGIN,,,,,
2,1693175699951,27/08/2023 22:34:59,1693150499951,-7,27/08/2023 08:34:59,132936,11,questionnaire-ptwy,,31382279,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Debrief,3,BCA,2,,,,,5,,END,,,,,
