Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1693157870577,27/08/2023 17:37:50,1693143470577,-4,27/08/2023 09:37:50,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693157873035,27/08/2023 17:37:53,1693143473035,-4,27/08/2023 09:37:53,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2479.9350000003724,2467.0119999999997,2479.9350000003724,2479.9350000003724,2467.0119999999997,2479.9350000003724,1,2479.9350000003724,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1693158713411,27/08/2023 17:51:53,1693144313411,-4,27/08/2023 09:51:53,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,1,chat2,Screen 1,xvlh72,2,continue,,839960.9230000004,839952.951,839960.9230000004,839960.9230000004,839952.951,839960.9230000004,1,839960.9230000004,0,0,,Click To Continue,Continue Button,2,object-74,chat2,
4,1693158721030,27/08/2023 17:52:01,1693144321030,-4,27/08/2023 09:52:01,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,1,ratings2,Screen 1,9n2rzw,1,continue,,7627.771999999299,7617.9550000000745,7627.771999999299,7627.771999999299,7617.9550000000745,7627.771999999299,1,7627.771999999299,0,0,,Click To Continue,Continue Button,7,object-53,ratings2,
5,1693158721031,27/08/2023 17:52:01,1693144321031,-4,27/08/2023 09:52:01,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,1,ratings2,Screen 1,9n2rzw,1,response,26,1816.9210000000894,7617.9550000000745,7628.372000000789,1816.9210000000894,7617.9550000000745,7628.372000000789,1,1816.9210000000894,5811.451000000699,0,,Slider,enjoy,1,object-47,ratings2,
6,1693158721031,27/08/2023 17:52:01,1693144321031,-4,27/08/2023 09:52:01,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,1,ratings2,Screen 1,9n2rzw,1,response,62,4583.975000000093,7617.9550000000745,7628.572000000044,4583.975000000093,7617.9550000000745,7628.572000000044,1,4583.975000000093,3044.5969999999506,0,,Slider,understand,2,object-48,ratings2,
7,1693158721031,27/08/2023 17:52:01,1693144321031,-4,27/08/2023 09:52:01,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,1,ratings2,Screen 1,9n2rzw,1,response,18,6701.160000000033,7617.9550000000745,7628.771999999299,6701.160000000033,7617.9550000000745,7628.771999999299,1,6701.160000000033,927.6119999992661,0,,Slider,chatAgain,6,object-52,ratings2,
8,1693158721032,27/08/2023 17:52:01,1693144321032,-4,27/08/2023 09:52:01,132936,11,task-mrfa,,31381744,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,Task,15,ABC,1,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693164988167,27/08/2023 19:36:28,1693150588167,-4,27/08/2023 11:36:28,132936,11,task-mrfa,,31382291,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693164989906,27/08/2023 19:36:29,1693150589906,-4,27/08/2023 11:36:29,132936,11,task-mrfa,,31382291,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,chat2,1,chat2,Screen 2,o6hbif,1,continue,,1749.9300000000003,1733.2640000000001,1749.9300000000003,1749.9300000000003,1733.2640000000001,1749.9300000000003,1,1749.9300000000003,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
