Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1693174488928,27/08/2023 22:14:48,1693149288928,-7,27/08/2023 08:14:48,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693174525132,27/08/2023 22:15:25,1693149325132,-7,27/08/2023 08:15:25,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,1,chat1,Screen 2,66299v,1,continue,,38948,38941,38948,38948,38941,38948,1,38948,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1693175425121,27/08/2023 22:30:25,1693150225121,-7,27/08/2023 08:30:25,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,899995,899994,899995,899995,899994,899995,1,899995,0,0,,Time Limit,screen,0,screen,chat1,
4,1693175444732,27/08/2023 22:30:44,1693150244732,-7,27/08/2023 08:30:44,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,continue,,19600,19589,19600,19600,19589,19600,1,19600,0,0,,Click To Continue,Continue Button,7,object-28,ratings1,
5,1693175444736,27/08/2023 22:30:44,1693150244736,-7,27/08/2023 08:30:44,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,response,53,16171,19589,19606,16171,19589,19606,1,16171,3435,0,,Slider,enjoy,1,object-16,ratings1,
6,1693175444737,27/08/2023 22:30:44,1693150244737,-7,27/08/2023 08:30:44,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,response,76,17622,19589,19606,17622,19589,19606,1,17622,1984,0,,Slider,understand,2,object-17,ratings1,
7,1693175444738,27/08/2023 22:30:44,1693150244738,-7,27/08/2023 08:30:44,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,1,ratings1,Screen 1,za48ma,1,response,53,18889,19589,19606,18889,19589,19606,1,18889,717,0,,Slider,chatAgain,6,object-21,ratings1,
8,1693175444742,27/08/2023 22:30:44,1693150244742,-7,27/08/2023 08:30:44,132936,11,task-vs28,,31382154,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693170459440,27/08/2023 21:07:39,1693156059440,-4,27/08/2023 13:07:39,132936,11,task-vs28,,31382765,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x768,,,0,Task,15,BCA,2,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693170463334,27/08/2023 21:07:43,1693156063334,-4,27/08/2023 13:07:43,132936,11,task-vs28,,31382765,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x768,,,0,Task,15,BCA,2,chat1,1,chat1,Screen 2,66299v,1,continue,,3933.181,3916.516,3933.181,3933.181,3916.516,3933.181,1,3933.181,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
