Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1693169310707,27/08/2023 20:48:30,1693144110707,-7,27/08/2023 06:48:30,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693169314883,27/08/2023 20:48:34,1693144114883,-7,27/08/2023 06:48:34,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,31965.104,31965.104,31965.104,31965.104,31965.104,31965.104,1,31965.104,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1693169988960,27/08/2023 20:59:48,1693144788960,-7,27/08/2023 06:59:48,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,674078.732,674078.732,674078.732,674078.732,674078.732,674078.732,1,674078.732,0,0,,Click To Continue,Continue Button,2,object-74,chat2,
4,1693170005099,27/08/2023 21:00:05,1693144805099,-7,27/08/2023 07:00:05,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,continue,,16130.165000000037,16130.165000000037,16130.165000000037,16130.165000000037,16130.165000000037,16130.165000000037,1,16130.165000000037,0,0,,Click To Continue,Continue Button,7,object-53,ratings2,
5,1693170005100,27/08/2023 21:00:05,1693144805100,-7,27/08/2023 07:00:05,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,100,1668.1829999999609,16130.165000000037,16130.165000000037,1668.1829999999609,16130.165000000037,16130.165000000037,1,1668.1829999999609,14461.982000000076,0,,Slider,enjoy,1,object-47,ratings2,
6,1693170005100,27/08/2023 21:00:05,1693144805100,-7,27/08/2023 07:00:05,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,100,3936.5529999999562,16130.165000000037,16130.165000000037,3936.5529999999562,16130.165000000037,16130.165000000037,1,3936.5529999999562,12193.612000000081,0,,Slider,understand,2,object-48,ratings2,
7,1693170005101,27/08/2023 21:00:05,1693144805101,-7,27/08/2023 07:00:05,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,1,ratings2,Screen 1,9n2rzw,1,response,100,5521.266999999993,16130.165000000037,16130.165000000037,5521.266999999993,16130.165000000037,16130.165000000037,1,5521.266999999993,10608.898000000045,0,,Slider,chatAgain,6,object-52,ratings2,
8,1693170005101,27/08/2023 21:00:05,1693144805101,-7,27/08/2023 07:00:05,132936,11,task-xy27,,31381803,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,Task,15,BCA,2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693182053612,28/08/2023 00:20:53,1693146053612,-10,27/08/2023 04:20:53,132936,11,task-xy27,,31381933,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,Task,15,ABC,2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693182054998,28/08/2023 00:20:54,1693146054998,-10,27/08/2023 04:20:54,132936,11,task-xy27,,31381933,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,Task,15,ABC,2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,1383.752999999997,1383.752999999997,1383.752999999997,1383.752999999997,1383.752999999997,1383.752999999997,1,1383.752999999997,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
