node,entered,exited,live,rejected,deleted
finish,3,3,0,0,0
start,22,22,0,0,0
task-keg8,3,3,0,0,0
questionnaire-2bh6,4,4,0,0,0
order-iuov,4,4,0,0,0
questionnaire-8v2c,22,6,16,0,0
task-mrfa,3,2,1,0,0
questionnaire-rrqf,4,3,1,0,0
questionnaire-mcfk,3,3,0,0,0
questionnaire-ptwy,3,3,0,0,0
questionnaire-mkoe,3,3,0,0,0
questionnaire-yurm,4,4,0,0,0
questionnaire-4793,2,2,0,0,0
task-vs28,2,2,0,0,0
questionnaire-5yf1,2,2,0,0,0
questionnaire-a8jv,2,2,0,0,0
task-xy27,2,2,0,0,0
randomiser-bl99,5,5,0,0,0
task-l2e9,6,5,1,0,0
