Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1688476377659,04/07/2023 13:12:57,1688479977659,1,04/07/2023 15:12:57,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,,,,,5,,BEGIN,,,,,
2,1688476674009,04/07/2023 13:17:54,1688480274009,1,04/07/2023 15:17:54,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,,continue,,,,,screen,0,screen
3,1688476674012,04/07/2023 13:17:54,1688480274012,1,04/07/2023 15:17:54,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,What is your age?,action,value,22,,,Number Entry,3,object-4
4,1688476674012,04/07/2023 13:17:54,1688480274012,1,04/07/2023 15:17:54,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,What is your gender?,action,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1688476674012,04/07/2023 13:17:54,1688480274012,1,04/07/2023 15:17:54,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,What is your gender?,action,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
6,1688476674013,04/07/2023 13:17:54,1688480274013,1,04/07/2023 15:17:54,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",action,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
7,1688476679127,04/07/2023 13:17:59,1688480279127,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 2,f1f33d,2,,continue,,,,,screen,0,screen
8,1688476679127,04/07/2023 13:17:59,1688480279127,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 2,f1f33d,2,Please write your ID code (the experimenter will provide this code):,action,value,RM01,,,Text Input,1,object-10
9,1688476679128,04/07/2023 13:17:59,1688480279128,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,What is your age?,response,value,22,,,Number Entry,3,object-4
10,1688476679128,04/07/2023 13:17:59,1688480279128,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,What is your gender?,response,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
11,1688476679128,04/07/2023 13:17:59,1688480279128,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,What is your gender?,response,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
12,1688476679128,04/07/2023 13:17:59,1688480279128,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
13,1688476679128,04/07/2023 13:17:59,1688480279128,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,Page 2,f1f33d,2,Please write your ID code (the experimenter will provide this code):,response,value,RM01,,,Text Input,1,object-10
14,1688476679129,04/07/2023 13:17:59,1688480279129,1,04/07/2023 15:17:59,132936,8,questionnaire-8v2c,,30472959,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,welcomeAndConsent,7,CAB,1,,,,,5,,END,,,,,
1,1688016381351,29/06/2023 05:26:21,1688005581351,-3,28/06/2023 23:26:21,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,,,,,5,,BEGIN,,,,,
2,1688016429519,29/06/2023 05:27:09,1688005629519,-3,28/06/2023 23:27:09,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,,continue,,,,,screen,0,screen
3,1688016429521,29/06/2023 05:27:09,1688005629521,-3,28/06/2023 23:27:09,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,What is your age?,action,value,40,,,Number Entry,3,object-4
4,1688016429522,29/06/2023 05:27:09,1688005629522,-3,28/06/2023 23:27:09,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,What is your gender?,action,value,Non-Binary,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1688016429522,29/06/2023 05:27:09,1688005629522,-3,28/06/2023 23:27:09,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,What is your gender?,action,quantised,3,,Male|Female|Non-Binary,Dropdown,4,object-5
6,1688016429522,29/06/2023 05:27:09,1688005629522,-3,28/06/2023 23:27:09,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",action,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
7,1688016449052,29/06/2023 05:27:29,1688005649052,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 2,f1f33d,2,,continue,,,,,screen,0,screen
8,1688016449056,29/06/2023 05:27:29,1688005649056,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 2,f1f33d,2,Please write your ID code (the experimenter will provide this code):,action,value,DL13,,,Text Input,1,object-10
9,1688016449057,29/06/2023 05:27:29,1688005649057,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,What is your age?,response,value,40,,,Number Entry,3,object-4
