participant_ID,extraversion_score,agreeableness_score,conscientiousness_score,openness_score,neuroticism_score
47891,1,2.22,2.89,1.9,4.63
38166,2.25,3.78,3.89,4.3,3.13
36243,2.5,3.11,3.33,3.2,2.5
53399,3.75,4.22,4.89,3.6,4.25
17237,3.25,4.89,4.11,3.7,2.5
89173,3.75,1.44,4.67,4,1.88
34694,4.88,4.67,5,4.3,1.38
75922,2.75,4,4.33,4.2,1.63
11305,2.25,4.78,4.44,3.3,3.5
17100,4,4.56,4.89,4.1,1.5
74675,3.38,3.67,3.11,3.3,3.25
81447,2.75,4.33,2.89,3.6,3.25
16193,2.75,3.33,2.33,3.2,3.63
41107,3.63,4.22,4.33,3.2,3.13
87784,3.13,4,4.44,4.1,2.75
25408,2.75,4.44,4.89,4.9,2.38
21329,3.88,4.89,4.78,4.3,1.25
79527,2.25,4,4,3.8,3.75
63489,2.75,3.78,4,3.7,3
81014,2,3.78,3.67,3.4,4.25
20964,3.75,3.67,4.11,4.3,2.88
88047,1.38,4.22,4.44,4.3,3.88
84742,4,4.44,4.78,4.3,2.38
27387,3.63,4.89,4.78,4.6,3
40254,2.75,2.89,2.89,3.6,3.38
61779,2.5,4,3.33,3.4,3.75
59039,3.63,5,5,4.4,1.5
44697,3.75,4.33,4,4,3.5
22532,3,5,5,4.3,1
41827,3.88,3.67,4.22,3.8,2.63
63172,1.75,4.33,4.89,3.9,1.5
51961,3,4.44,3.33,3.7,3.88
90577,4,3.33,4.11,3.7,2.75
15183,2.63,3.56,3.44,2.7,2.13
56038,4.5,5,5,4.1,1.25
85519,4,4.89,5,3.8,1.5
38027,1,4.33,1.33,1.6,5
23397,3.75,3.22,5,4.8,1
95626,3,4.22,4.56,4.1,2.5
20579,1.88,3.22,3.44,2.9,2.25
45547,4.88,5,4.56,3.5,1.38
61627,3,4.67,4.78,4.3,2.88
78198,1.63,4.44,3.44,3.2,4
85783,3.25,3.22,3.67,3.6,3.25
19104,3.63,3.67,3.56,3.3,3
61921,3,4.11,3.44,2.8,3
38159,3,3.67,3.89,4.1,3
45555,2.5,4.78,4,3.5,1.75
96650,3.5,3.56,4.67,3.7,1.75
36958,3.5,4.22,4.33,3.9,2.38
55041,4.88,4.89,4.78,4.1,1.25
29967,4.25,4.78,4.22,4.2,1.5
54428,3.63,3.67,4.78,3,2.25
