participant_ID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14
41827,5,5,5,6,6,7,5,5,7,6,2,4,4,2
56038,7,7,7,7,7,7,7,7,7,7,1,1,1,1
63172,7,7,7,6,6,5,6,7,7,6,1,2,2,1
85519,6,4,6,5,5,5,6,5,5,5,6,6,6,5
38027,3,2,3,4,4,5,2,2,6,5,6,5,6,6
23397,7,4,7,7,7,7,6,7,7,5,5,2,2,1
90577,6,5,5,6,6,6,5,5,7,6,2,1,1,2
15183,5,6,6,6,5,6,4,5,7,4,2,2,3,2
51961,6,6,6,6,6,6,5,5,6,6,2,2,2,2
95626,7,7,4,7,4,7,6,6,7,7,1,2,1,1
38159,4,4,4,4,5,6,4,3,7,6,5,3,4,5
81447,3,2,3,3,2,6,5,2,6,3,5,2,3,5
74675,5,6,6,6,6,6,6,6,6,6,3,3,2,2
19104,5,5,5,5,7,6,7,7,7,7,1,1,1,1
41107,5,4,6,6,6,4,4,4,7,4,2,2,3,2
61627,5,6,5,6,6,6,5,5,6,5,3,3,3,2
45547,7,6,6,6,6,7,6,7,7,7,2,1,1,1
85783,6,5,4,6,6,7,5,6,6,7,2,3,2,2
78198,5,1,5,1,7,7,4,3,7,4,3,5,4,5
47891,7,6,6,7,7,7,6,5,7,6,1,4,1,2
38166,5,2,2,2,5,6,2,2,6,2,3,3,4,5
17237,5,4,5,6,6,6,6,6,6,6,2,3,2,2
36243,6,6,6,5,5,5,5,5,7,3,3,3,5,2
89173,6,5,5,5,6,7,4,4,7,5,2,3,3,2
17100,6,5,5,5,7,6,6,6,7,7,1,1,1,1
20579,5,4,3,2,6,6,5,5,7,6,5,2,4,2
34694,5,5,5,6,7,7,1,4,7,6,3,1,2,1
75922,6,6,5,6,6,6,4,5,6,5,3,3,3,2
61921,6,5,5,5,5,7,5,5,7,3,2,2,2,2
88047,6,6,6,7,7,7,7,6,7,7,1,1,1,1
16193,6,7,5,6,7,6,4,4,6,5,2,2,3,1
79527,6,6,6,6,6,6,6,6,6,6,2,2,2,2
63489,5,5,4,6,5,5,4,4,7,6,2,4,3,2
20964,7,7,6,7,6,7,7,7,7,6,7,1,1,1
36958,6,6,6,6,6,6,6,6,6,6,2,2,1,2
21329,7,6,7,7,6,7,6,6,7,7,1,1,1,1
59039,6,7,7,7,6,7,5,6,7,6,1,1,4,2
25408,2,1,3,5,5,7,2,5,7,7,4,2,3,3
87784,6,6,6,5,7,3,4,4,4,5,6,4,4,3
61779,6,5,6,7,7,7,6,6,7,7,1,1,1,1
22532,1,1,1,1,1,1,1,1,7,7,7,7,7,7
84742,6,7,7,7,7,7,6,7,7,7,1,2,2,6
44697,6,6,5,7,7,7,6,7,7,7,2,1,2,1
40254,6,6,5,6,6,6,5,5,6,6,2,1,3,3
96650,6,6,6,7,6,7,4,6,7,7,1,1,1,5
81014,5,2,4,4,5,5,5,4,5,4,5,4,5,4
45555,7,7,6,7,7,7,6,7,7,7,1,1,1,1
27387,7,7,7,7,7,7,6,6,7,7,1,1,1,1
55041,6,6,6,6,6,6,6,6,7,7,1,1,1,1
29967,6,6,7,6,6,6,7,6,7,7,2,1,1,1
54428,6,5,6,6,6,5,5,5,7,6,2,1,1,1
