participant_ID,similar,enjoy,distant,understood,different,chat_again
41827,4,4,2,3,1,4
47891,4,5,1,5,1,5
56038,4,4,1,5,1,5
63172,5,5,1,5,1,5
85519,4,4,4,5,4,4
38027,3,2,4,3,3,2
90577,4,4,2,4,2,5
15183,4,4,2,4,2,4
51961,4,4,2,4,2,4
95626,3,5,1,4,3,5
38159,3,3,4,4,4,3
81447,2,4,4,2,4,2
74675,4,4,2,4,2,3
19104,4,5,1,5,2,5
41107,3,4,2,4,2,4
61627,4,4,2,4,2,4
45547,4,5,1,5,1,5
85783,4,5,2,4,3,5
78198,1,3,4,4,4,3
23397,5,5,2,5,3,5
38166,2,3,4,3,5,2
36243,4,4,2,4,2,4
17237,4,4,2,4,2,4
89173,4,4,2,3,2,4
17100,4,5,2,4,4,5
20579,2,3,3,3,4,4
34694,3,4,1,4,1,4
75922,4,4,2,4,2,4
61921,4,5,2,4,2,5
16193,4,4,2,4,2,4
79527,4,4,2,4,2,4
63489,3,4,3,4,4,4
20964,4,5,1,4,1,4
36958,4,4,2,5,2,4
88047,5,5,1,5,2,5
21329,4,5,1,5,3,5
59039,4,5,1,5,1,5
25408,2,4,4,3,5,2
44697,4,5,2,5,1,5
87784,4,4,2,4,2,5
22532,2,2,4,2,4,1
61779,4,5,1,5,2,5
84742,5,5,1,5,2,5
40254,3,4,4,4,3,4
96650,4,5,1,4,3,4
81014,2,2,3,3,4,2
45555,4,5,1,5,4,5
27387,4,5,2,5,2,5
55041,4,4,1,4,1,4
29967,4,4,1,4,4,4
54428,4,4,1,4,2,5
