Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1688481613299,04/07/2023 14:40:13,1688481613088,1,04/07/2023 15:40:13,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1688481623863,04/07/2023 14:40:23,1688481623738,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-1,Disagree
3,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-1-quantised,2
4,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-2,Agree
5,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-2-quantised,4
6,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-5,Disagree
7,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-5-quantised,2
8,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-3,Agree
9,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-3-quantised,4
10,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-6,Disagree
11,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-6-quantised,2
12,1688481623942,04/07/2023 14:40:23,1688481623740,1,04/07/2023 15:40:23,132936,8,questionnaire-4793,,30473622,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,END QUESTIONNAIRE,10652
END OF FILE
