Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1688481656533,04/07/2023 14:40:56,1688481656361,1,04/07/2023 15:40:56,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,BFI10,2,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1688481827797,04/07/2023 14:43:47,1688481827586,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,extroversion_score,6
3,1688481827865,04/07/2023 14:43:47,1688481827588,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,extroversion_rating,High
4,1688481827865,04/07/2023 14:43:47,1688481827588,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,agreeableness_score,4.5
5,1688481827865,04/07/2023 14:43:47,1688481827588,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,agreeableness_rating,Medium Low
6,1688481827865,04/07/2023 14:43:47,1688481827588,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,conscientiousness_score,6.5
7,1688481827865,04/07/2023 14:43:47,1688481827589,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,conscientiousness_rating,Medium High
8,1688481827865,04/07/2023 14:43:47,1688481827589,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,emotional_stability_score,5
9,1688481827865,04/07/2023 14:43:47,1688481827589,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,emotional_stability_rating,Medium High
10,1688481827865,04/07/2023 14:43:47,1688481827589,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,openness_score,5.5
11,1688481827865,04/07/2023 14:43:47,1688481827589,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,openness_rating,Medium High
12,1688481827865,04/07/2023 14:43:47,1688481827589,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,extroversionNormal,6
13,1688481827865,04/07/2023 14:43:47,1688481827589,1,04/07/2023 15:43:47,132936,8,questionnaire-mcfk,,30473645,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,BFI10,2,CAB,1,No,extroversionNormal-quantised,6
