Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1687800217825,26/06/2023 17:23:37,1687800217714,-3,26/06/2023 14:23:37,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,BEGIN QUESTIONNAIRE,
2,1687800234786,26/06/2023 17:23:54,1687800234726,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-1,Neutral
3,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-1-quantised,3
4,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-2,Neutral
5,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-2-quantised,3
6,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-5,Disagree
7,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-5-quantised,2
8,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-3,Disagree
9,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-3-quantised,2
10,1687800234967,26/06/2023 17:23:54,1687800234730,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-6,Agree
11,1687800234967,26/06/2023 17:23:54,1687800234731,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-6-quantised,4
12,1687800234967,26/06/2023 17:23:54,1687800234731,-3,26/06/2023 14:23:54,132936,8,questionnaire-a8jv,,30311376,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,END QUESTIONNAIRE,17017
1,1688007013077,29/06/2023 02:50:13,1688007190273,-3,28/06/2023 23:53:10,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,BEGIN QUESTIONNAIRE,
2,1688007028418,29/06/2023 02:50:28,1688007205635,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-1,Strongly Disagree
3,1688007028585,29/06/2023 02:50:28,1688007205636,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-1-quantised,1
4,1688007028585,29/06/2023 02:50:28,1688007205636,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-2,Agree
5,1688007028585,29/06/2023 02:50:28,1688007205636,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-2-quantised,4
6,1688007028585,29/06/2023 02:50:28,1688007205636,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-5,Neutral
7,1688007028585,29/06/2023 02:50:28,1688007205636,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-5-quantised,3
8,1688007028585,29/06/2023 02:50:28,1688007205636,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-3,Disagree
9,1688007028585,29/06/2023 02:50:28,1688007205636,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-3-quantised,2
10,1688007028585,29/06/2023 02:50:28,1688007205637,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-6,Strongly Agree
11,1688007028585,29/06/2023 02:50:28,1688007205637,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,response-6-quantised,5
12,1688007028585,29/06/2023 02:50:28,1688007205637,-3,28/06/2023 23:53:25,132936,8,questionnaire-a8jv,,30373617,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,END QUESTIONNAIRE,15365
END OF FILE
