Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1688481976825,04/07/2023 14:46:16,1688481976661,1,04/07/2023 15:46:16,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,PI-18 ,1,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1688481993111,04/07/2023 14:46:33,1688481993014,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-1,-3
3,1688481993171,04/07/2023 14:46:33,1688481993015,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-1-quantised,1
4,1688481993171,04/07/2023 14:46:33,1688481993015,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-2,-3
5,1688481993171,04/07/2023 14:46:33,1688481993015,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-2-quantised,1
6,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-3,-3
7,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-3-quantised,1
8,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-4,-3
9,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-4-quantised,1
10,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-5,-3
11,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-5-quantised,1
12,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-6,-1
13,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-6-quantised,3
14,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-7,-1
15,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-7-quantised,3
16,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-8,-1
17,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-8-quantised,3
18,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-9,-1
19,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-9-quantised,3
20,1688481993171,04/07/2023 14:46:33,1688481993016,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-10,-2
21,1688481993171,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-10-quantised,2
22,1688481993171,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-11,-1
23,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-11-quantised,3
24,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-12,1
25,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-12-quantised,4
26,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-13,-1
27,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-13-quantised,3
28,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-14,-1
29,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-14-quantised,3
30,1688481993239,04/07/2023 14:46:33,1688481993017,1,04/07/2023 15:46:33,132936,8,questionnaire-rrqf,,30473833,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1776x1015,,PI-18 ,1,CAB,1,No,responses-15,-1
