Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1688481624655,04/07/2023 14:40:24,1688481624503,1,04/07/2023 15:40:24,132936,8,questionnaire-yurm,,30473627,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Overall Bot Questionnaire,4,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1688481655266,04/07/2023 14:40:55,1688481655022,1,04/07/2023 15:40:55,132936,8,questionnaire-yurm,,30473627,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Overall Bot Questionnaire,4,CAB,1,No,response-1-1,Pat
3,1688481655319,04/07/2023 14:40:55,1688481655023,1,04/07/2023 15:40:55,132936,8,questionnaire-yurm,,30473627,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Overall Bot Questionnaire,4,CAB,1,No,response-1-2,Alex
4,1688481655319,04/07/2023 14:40:55,1688481655023,1,04/07/2023 15:40:55,132936,8,questionnaire-yurm,,30473627,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Overall Bot Questionnaire,4,CAB,1,No,response-2,They understood me more
5,1688481655319,04/07/2023 14:40:55,1688481655024,1,04/07/2023 15:40:55,132936,8,questionnaire-yurm,,30473627,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Overall Bot Questionnaire,4,CAB,1,No,response-3,They were too happy
6,1688481655319,04/07/2023 14:40:55,1688481655024,1,04/07/2023 15:40:55,132936,8,questionnaire-yurm,,30473627,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Overall Bot Questionnaire,4,CAB,1,No,END QUESTIONNAIRE,30522
1,1688007030181,29/06/2023 02:50:30,1688007207358,-3,28/06/2023 23:53:27,132936,8,questionnaire-yurm,,30373621,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Overall Bot Questionnaire,4,BCA,2,No,BEGIN QUESTIONNAIRE,
2,1688007205200,29/06/2023 02:53:25,1688007382173,-3,28/06/2023 23:56:22,132936,8,questionnaire-yurm,,30373621,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Overall Bot Questionnaire,4,BCA,2,No,response-1-1,Pat
3,1688007205348,29/06/2023 02:53:25,1688007382175,-3,28/06/2023 23:56:22,132936,8,questionnaire-yurm,,30373621,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Overall Bot Questionnaire,4,BCA,2,No,response-1-2,Alex
4,1688007205348,29/06/2023 02:53:25,1688007382175,-3,28/06/2023 23:56:22,132936,8,questionnaire-yurm,,30373621,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Overall Bot Questionnaire,4,BCA,2,No,response-2,I found Pat more adaptable after we moved passed their fixation on my potential anxiety. The challenge is that Pat presented itself as a real person initially and eventually announced it was an AI. It also implied i had told it about a preexisting anxiety condition that I don't have and it seemed to struggle to get past that initially.
