Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1688480981219,04/07/2023 14:29:41,1688480981020,1,04/07/2023 15:29:41,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1688480999628,04/07/2023 14:29:59,1688480999488,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-1,Agree
3,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-1-quantised,4
4,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-2,Strongly Agree
5,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-2-quantised,5
6,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-5,Strongly Disagree
7,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-5-quantised,1
8,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-3,Strongly Agree
9,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-3-quantised,5
10,1688480999663,04/07/2023 14:29:59,1688480999489,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-6,Disagree
11,1688480999663,04/07/2023 14:29:59,1688480999490,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,response-6-quantised,2
12,1688480999663,04/07/2023 14:29:59,1688480999490,1,04/07/2023 15:29:59,132936,8,questionnaire-mkoe,,30473364,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Individual Bot Questionnaire,2,CAB,1,No,END QUESTIONNAIRE,18470
END OF FILE
