Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1687799583167,26/06/2023 17:13:03,1687799583052,-3,26/06/2023 14:13:03,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,BEGIN QUESTIONNAIRE,
2,1687799598974,26/06/2023 17:13:18,1687799598918,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-1,Agree
3,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-1-quantised,4
4,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-2,Agree
5,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-2-quantised,4
6,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-5,Strongly Disagree
7,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-5-quantised,1
8,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-3,Strongly Agree
9,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-3-quantised,5
10,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-6,Disagree
11,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,response-6-quantised,2
12,1687799599105,26/06/2023 17:13:19,1687799598920,-3,26/06/2023 14:13:18,132936,8,questionnaire-5yf1,,30311223,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,Individual Bot Questionnaire,2,ABC,2,No,END QUESTIONNAIRE,15868
1,1688006375439,29/06/2023 02:39:35,1688006552590,-3,28/06/2023 23:42:32,132936,8,questionnaire-5yf1,,30373541,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x692,,Individual Bot Questionnaire,2,BCA,2,No,BEGIN QUESTIONNAIRE,
